
###################################################################
###################################################################
###################################################################

Current time: 2023-11-20 21:18:03.579204

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'batch_start_idx': 5, 'batch_end_idx': 21, 'dropout': 0.5, 'previous_steps': 5}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: correction_LSTMs


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.

The number of parameter in first model : 203016

The number of parameter in second model : 201480

Epoch [39/2000], First Loss: 201.2386, Second Loss: -77777.0000, Val Loss: 190.3160 [(kW/hour)^2], MinVal : 190.3159637451172
Epoch [40/2000], First Loss: 200.4945, Second Loss: -77777.0000, Val Loss: 189.8554 [(kW/hour)^2], MinVal : 189.85540771484375
Epoch [41/2000], First Loss: 199.8353, Second Loss: -77777.0000, Val Loss: 189.2908 [(kW/hour)^2], MinVal : 189.290771484375
Epoch [42/2000], First Loss: 199.1710, Second Loss: -77777.0000, Val Loss: 188.5645 [(kW/hour)^2], MinVal : 188.56451416015625
Epoch [43/2000], First Loss: 198.5260, Second Loss: -77777.0000, Val Loss: 187.9679 [(kW/hour)^2], MinVal : 187.96791076660156
Epoch [44/2000], First Loss: 197.6701, Second Loss: -77777.0000, Val Loss: 187.4323 [(kW/hour)^2], MinVal : 187.43234252929688
Epoch [45/2000], First Loss: 197.0484, Second Loss: -77777.0000, Val Loss: 187.4240 [(kW/hour)^2], MinVal : 187.42398071289062
Epoch [46/2000], First Loss: 196.5182, Second Loss: -77777.0000, Val Loss: 186.5560 [(kW/hour)^2], MinVal : 186.55599975585938
Epoch [47/2000], First Loss: 196.1091, Second Loss: -77777.0000, Val Loss: 185.6579 [(kW/hour)^2], MinVal : 185.6579132080078
Epoch [48/2000], First Loss: 195.4895, Second Loss: -77777.0000, Val Loss: 184.8705 [(kW/hour)^2], MinVal : 184.87051391601562
Epoch [49/2000], First Loss: 194.5769, Second Loss: -77777.0000, Val Loss: 184.2604 [(kW/hour)^2], MinVal : 184.26043701171875
Epoch [50/2000], First Loss: 193.8618, Second Loss: -77777.0000, Val Loss: 183.6892 [(kW/hour)^2], MinVal : 183.68923950195312
Epoch [51/2000], First Loss: 193.2316, Second Loss: -77777.0000, Val Loss: 182.6570 [(kW/hour)^2], MinVal : 182.65696716308594
Epoch [52/2000], First Loss: 192.6557, Second Loss: -77777.0000, Val Loss: 181.6532 [(kW/hour)^2], MinVal : 181.65318298339844
Epoch [53/2000], First Loss: 192.0524, Second Loss: -77777.0000, Val Loss: 181.6367 [(kW/hour)^2], MinVal : 181.63670349121094
Epoch [54/2000], First Loss: 191.2236, Second Loss: -77777.0000, Val Loss: 180.9423 [(kW/hour)^2], MinVal : 180.94227600097656
Epoch [55/2000], First Loss: 190.7256, Second Loss: -77777.0000, Val Loss: 180.1434 [(kW/hour)^2], MinVal : 180.1434326171875
Epoch [56/2000], First Loss: 190.0968, Second Loss: -77777.0000, Val Loss: 179.4422 [(kW/hour)^2], MinVal : 179.44216918945312
Epoch [57/2000], First Loss: 189.5564, Second Loss: -77777.0000, Val Loss: 178.4979 [(kW/hour)^2], MinVal : 178.49794006347656
Epoch [58/2000], First Loss: 188.9131, Second Loss: -77777.0000, Val Loss: 177.6352 [(kW/hour)^2], MinVal : 177.6351776123047
Epoch [59/2000], First Loss: 188.3226, Second Loss: -77777.0000, Val Loss: 176.8725 [(kW/hour)^2], MinVal : 176.87249755859375
Epoch [60/2000], First Loss: 187.5910, Second Loss: -77777.0000, Val Loss: 176.1068 [(kW/hour)^2], MinVal : 176.10678100585938
Epoch [61/2000], First Loss: 186.7094, Second Loss: -77777.0000, Val Loss: 175.3376 [(kW/hour)^2], MinVal : 175.3376007080078
Epoch [62/2000], First Loss: 185.8625, Second Loss: -77777.0000, Val Loss: 174.7020 [(kW/hour)^2], MinVal : 174.7019805908203
Epoch [63/2000], First Loss: 185.1561, Second Loss: -77777.0000, Val Loss: 174.1330 [(kW/hour)^2], MinVal : 174.13296508789062
Epoch [64/2000], First Loss: 184.3873, Second Loss: -77777.0000, Val Loss: 173.5650 [(kW/hour)^2], MinVal : 173.56495666503906
Epoch [65/2000], First Loss: 183.7466, Second Loss: -77777.0000, Val Loss: 172.9769 [(kW/hour)^2], MinVal : 172.97689819335938
Epoch [66/2000], First Loss: 183.0765, Second Loss: -77777.0000, Val Loss: 172.4153 [(kW/hour)^2], MinVal : 172.41529846191406
