date,DC_V,DC_A,DC_W,AC_V_RS,AC_V_ST,AC_V_TR,AC_A_R,AC_A_S,AC_A_T,AC_W,AC_TOT,AC_FREQ,SOL_RAD_SLOPE,SOL_RAD_LEVEL,TMP_MODU,TMP_CLI
2022-08-11 05:45:00,259.5,3.0,0.79,385.48,385.22,384.62,1.6,8.8,8.4,4.18,101328.91,59.9,9.84,9.06,21.79999924,22.1
2022-08-11 06:05:00,381.0,2.7,1.06,385.32,384.78,384.4,1.9,8.8,8.3,4.22,101328.91,59.9,9.06,0.0,21.59999847,22.1
2022-08-11 06:15:00,507.0,2.7,1.44,384.62,384.02,383.52,1.6,8.8,8.4,4.17,101328.91,59.9,9.45,0.0,21.70000076,22.1
2022-08-11 06:50:00,215.0,3.1,0.7,384.45,383.93,383.54,1.7,8.8,8.4,4.19,101328.91,59.9,11.02,10.24,21.59999847,21.9
2022-08-11 06:55:00,522.0,2.9,1.58,384.62,383.82,383.62,1.7,8.8,8.4,4.19,101328.91,60.0,11.42,10.63,21.5,21.8
2022-08-11 07:00:00,539.0,3.1,1.65,383.38,383.02,382.88,1.6,8.8,8.4,4.16,101328.91,59.9,11.81,10.63,21.40000153,21.8
2022-08-11 07:05:00,543.0,3.4,1.87,384.17,383.62,383.67,1.7,8.8,8.5,4.21,101328.91,59.9,14.96,14.18,21.40000153,21.7
2022-08-11 07:10:00,575.0,3.2,1.93,384.52,384.02,383.68,1.6,8.8,8.5,4.19,101328.91,60.0,15.75,14.57,21.40000153,21.7
2022-08-11 07:15:00,561.0,3.2,1.84,384.42,384.03,383.57,1.6,8.9,8.5,4.21,101328.91,60.0,14.18,13.39,21.40000153,21.7
2022-08-11 07:20:00,566.0,3.1,1.8,384.38,383.78,383.64,1.4,8.9,8.5,4.16,101328.91,60.0,14.18,12.99,21.40000153,21.7
2022-08-11 07:25:00,573.5,3.4,2.04,383.88,383.58,383.06,1.5,8.8,8.5,4.16,101328.91,60.0,16.54,15.75,21.29999924,21.6
2022-08-11 07:30:00,551.5,3.5,1.98,384.18,383.58,383.12,1.5,8.9,8.6,4.21,101328.91,59.9,16.14,15.36,21.29999924,21.6
2022-08-11 07:35:00,561.0,3.3,1.9,383.78,383.48,383.28,1.3,8.8,8.5,4.12,101328.91,60.0,15.36,14.96,21.29999924,21.5
2022-08-11 07:40:00,559.0,3.1,1.76,383.48,383.08,382.88,1.6,8.8,8.5,4.18,101329.22,59.9,13.78,12.99,21.29999924,21.5
2022-08-11 07:45:00,568.0,3.2,1.88,383.82,383.41,383.02,1.5,8.9,8.6,4.2,101329.91,60.0,15.75,15.36,21.20000076,21.5
2022-08-11 07:50:00,549.0,3.2,1.79,384.38,383.78,383.68,1.4,8.9,8.5,4.16,101329.91,59.9,14.57,13.39,21.29999924,21.5
2022-08-11 07:55:00,568.0,3.1,1.77,383.94,383.28,382.83,1.4,8.8,8.4,4.11,101330.31999999998,59.9,14.18,13.39,21.20000076,21.4
2022-08-11 08:00:00,581.0,4.0,2.35,383.47,383.27,382.88,1.3,9.0,8.7,4.2,101330.91,60.0,22.05,21.26,21.20000076,21.4
2022-08-11 08:05:00,593.0,5.0,3.08,383.58,383.28,382.98,0.9,9.4,9.3,4.34,101331.00000000004,59.9,32.29,31.11,21.29999924,21.4
2022-08-11 08:10:00,583.5,6.0,3.58,383.48,383.28,383.08,0.8,10.0,10.0,4.6,101331.31999999998,60.0,39.38,37.8,21.59999847,21.5
2022-08-11 08:15:00,586.0,5.0,3.06,383.37,382.97,382.87,1.1,9.4,9.2,4.35,101331.91,59.9,31.89,30.71,21.79999924,21.5
2022-08-11 08:20:00,593.0,5.0,3.03,383.42,383.09,383.12,0.9,9.3,9.2,4.29,101332.1,60.0,31.5,30.32,21.70000076,21.4
2022-08-11 08:25:00,568.0,4.2,2.43,382.72,382.08,381.98,1.1,9.0,8.8,4.17,101332.91,59.9,23.63,22.05,21.59999847,21.5
