date,DC_V,DC_A,DC_W,AC_V_RS,AC_V_ST,AC_V_TR,AC_A_R,AC_A_S,AC_A_T,AC_W,AC_TOT,AC_FREQ,SOL_RAD_SLOPE,SOL_RAD_LEVEL,TMP_MODU,TMP_CLI
2022-03-13 06:40:00,396.5,2.4,1.02,384.48,386.28,384.62,1.7,8.7,8.3,4.16,65479.91,59.9,0.0,0.0,8.0,8.1
2022-03-13 06:45:00,433.0,2.5,1.12,384.18,386.38,384.58,1.9,8.7,8.3,4.2,65479.91,60.0,9.06,0.0,8.0,8.2
2022-03-13 06:50:00,428.5,2.4,1.1,385.72,387.22,385.82,1.7,8.8,8.3,4.19,65479.91,60.0,9.84,9.06,8.0,8.2
2022-03-13 07:10:00,421.0,2.8,1.22,385.98,387.42,385.98,1.7,8.7,8.3,4.17,65479.91,59.9,11.81,11.42,7.799999237,7.9
2022-03-13 07:15:00,472.0,2.8,1.36,386.58,388.28,387.08,1.9,8.7,8.3,4.23,65479.91,60.0,11.81,11.42,7.600000381,7.6
2022-03-13 07:25:00,575.0,2.9,1.7,385.28,386.92,385.48,1.6,8.8,8.4,4.19,65479.91,59.9,13.39,12.99,7.399999619,7.5
2022-03-13 07:30:00,583.0,2.9,1.76,384.48,385.95,384.68,1.7,8.7,8.4,4.18,65479.91,60.0,14.96,14.18,7.299999237,7.4
2022-03-13 07:35:00,599.5,3.5,2.08,385.12,386.72,385.58,1.5,8.8,8.5,4.19,65479.91,59.9,19.29,18.51,7.299999237,7.3
2022-03-13 07:40:00,586.0,3.1,1.91,385.61,386.72,385.62,1.6,8.8,8.5,4.21,65479.91,60.0,16.93,16.14,7.299999237,7.2
2022-03-13 07:45:00,599.5,2.9,1.83,384.88,386.12,384.88,1.6,8.7,8.4,4.16,65479.91,59.9,15.36,14.57,7.100000381,7.1
2022-03-13 07:50:00,602.0,3.0,1.85,384.52,385.62,384.02,1.5,8.8,8.4,4.15,65479.91,59.9,15.75,14.96,7.100000381,7.1
2022-03-13 07:55:00,592.0,3.0,1.81,384.87,386.27,384.74,1.4,8.7,8.3,4.09,65479.91,59.9,15.75,14.96,7.0,7.0
2022-03-13 08:00:00,594.0,4.0,2.43,384.25,385.53,384.03,1.4,8.9,8.7,4.22,65479.91,60.0,24.02,22.84,7.0,7.0
2022-03-13 08:05:00,616.5,3.9,2.49,385.58,386.38,385.02,1.5,8.9,8.7,4.25,65479.91,59.9,25.2,24.02,7.0,6.9
2022-03-13 08:10:00,607.0,3.6,2.24,385.08,386.32,384.78,1.2,8.9,8.6,4.16,65479.91,59.9,21.66,20.87,7.0,6.9
2022-03-13 08:15:00,604.0,3.2,1.99,384.76,386.24,385.14,1.4,8.8,8.5,4.16,65479.91,59.9,18.11,17.33,6.899999619,6.8
2022-03-13 08:20:00,609.0,4.0,2.47,383.88,385.28,383.78,1.3,9.0,8.7,4.22,65479.91,59.9,25.2,24.02,6.799999237,6.8
2022-03-13 08:25:00,616.0,4.8,3.0,384.06,385.52,384.36,1.6,9.3,9.1,4.44,65479.91,59.9,32.68,31.11,6.799999237,6.7
2022-03-13 08:30:00,601.0,4.8,2.91,384.43,385.83,384.52,1.1,9.3,9.1,4.34,65479.91,59.9,31.5,30.32,6.899999619,6.7
2022-03-13 08:35:00,627.5,5.9,3.71,384.62,386.02,384.72,1.0,10.1,10.1,4.72,65479.91,59.9,42.53,40.56,7.0,6.7
2022-03-13 08:40:00,631.5,5.3,3.39,385.42,386.27,384.92,1.1,9.8,9.7,4.58,65479.91,59.9,38.59,37.01,7.200000763,6.7
2022-03-13 08:45:00,622.0,4.5,2.85,386.48,387.98,386.28,1.2,9.2,9.0,4.33,65479.91,60.0,30.32,29.14,7.100000381,6.7
2022-03-13 08:50:00,627.5,5.5,3.55,387.72,389.22,387.68,0.8,9.8,9.8,4.57,65479.91,60.0,39.38,37.8,7.0,6.7
2022-03-13 08:55:00,617.0,5.6,3.48,389.32,390.72,388.84,1.0,9.8,9.8,4.63,65479.91,59.9,39.77,38.19,7.0,6.6
2022-03-13 09:00:00,606.0,4.8,2.92,390.12,391.38,389.24,1.4,9.3,9.1,4.46,65479.91,59.9,32.68,31.11,7.0,6.7
2022-03-13 09:05:00,616.0,4.8,2.96,387.48,388.42,386.82,1.1,9.4,9.2,4.41,65479.91,60.0,32.29,30.71,7.200000763,6.7
2022-03-13 09:10:00,616.0,4.4,2.81,388.48,389.92,388.23,1.3,9.2,9.0,4.38,65479.91,59.9,30.71,29.14,7.0,6.7
2022-03-13 09:15:00,627.0,4.6,2.91,388.3,389.8,387.77,1.6,9.3,9.0,4.46,65479.91,60.0,32.68,31.11,6.899999619,6.7
2022-03-13 09:20:00,623.0,4.6,2.9,387.52,389.13,387.28,1.2,9.3,9.1,4.39,65479.91,59.9,31.89,30.71,7.0,6.7
2022-03-13 09:25:00,614.0,4.6,2.84,387.67,388.97,386.97,1.2,9.2,9.1,4.37,65479.91,59.9,31.11,29.53,7.0,6.6
2022-03-13 09:30:00,613.5,4.6,2.84,387.84,389.12,387.14,1.0,9.3,9.2,4.37,65479.91,59.9,30.32,29.14,7.0,6.6
2022-03-13 09:35:00,624.0,5.2,3.32,387.68,389.18,386.97,1.2,9.7,9.6,4.59,65479.91,60.0,37.8,35.83,7.0,6.6
2022-03-13 09:40:00,612.0,5.3,3.32,387.03,388.63,386.63,1.4,9.7,9.6,4.63,65479.91,60.0,37.41,35.44,7.100000381,6.7
2022-03-13 09:45:00,614.0,5.4,3.37,387.45,389.12,386.95,1.2,9.7,9.7,4.61,65479.91,60.0,37.8,36.22,7.0,6.7
2022-03-13 09:50:00,620.0,5.2,3.28,387.62,389.08,386.85,1.1,9.7,9.6,4.57,65479.91,60.0,37.41,35.44,7.100000381,6.7
2022-03-13 09:55:00,618.0,5.2,3.26,387.75,389.15,387.03,0.9,9.6,9.6,4.5,65479.91,59.9,36.62,35.04,7.100000381,6.7
2022-03-13 10:00:00,613.0,5.6,3.52,387.37,388.92,386.78,0.9,9.9,9.8,4.61,65479.91,60.0,40.95,38.98,7.100000381,6.6
2022-03-13 10:05:00,621.0,4.4,2.84,387.14,388.28,386.28,1.0,9.3,9.2,4.36,65479.91,59.9,30.71,29.14,7.100000381,6.6
2022-03-13 10:10:00,614.0,4.2,2.63,386.62,387.96,385.72,1.1,9.2,9.0,4.31,65479.91,60.0,27.96,26.77,7.100000381,6.6
2022-03-13 10:15:00,609.0,4.4,2.78,386.72,388.18,385.78,1.3,9.2,9.0,4.36,65479.91,59.9,29.92,28.74,6.899999619,6.6
2022-03-13 10:20:00,620.0,4.5,2.86,386.48,387.62,385.42,1.4,9.3,9.1,4.42,65479.91,60.0,31.5,29.92,6.799999237,6.5
2022-03-13 10:25:00,613.0,4.4,2.75,386.12,387.33,384.87,1.1,9.2,9.1,4.32,65479.91,60.0,29.92,28.35,6.799999237,6.5
2022-03-13 10:30:00,606.0,3.8,2.34,386.52,387.82,385.52,1.3,9.0,8.7,4.24,65479.91,60.0,23.63,22.44,6.700000763,6.4
2022-03-13 10:35:00,617.0,3.4,2.15,387.08,388.18,385.78,1.3,8.9,8.7,4.22,65479.91,60.0,22.44,21.26,6.799999237,6.5
2022-03-13 10:40:00,622.0,4.2,2.65,386.89,387.6,385.46,1.1,9.1,9.0,4.28,65479.91,59.9,28.74,27.17,6.700000763,6.4
2022-03-13 10:45:00,611.0,3.9,2.4,386.68,387.78,385.58,1.3,9.0,8.8,4.26,65479.91,60.0,24.81,23.63,6.700000763,6.4
2022-03-13 10:50:00,601.0,3.8,2.32,386.08,386.97,385.04,1.4,9.0,8.7,4.26,65479.91,59.9,24.41,23.23,6.799999237,6.5
2022-03-13 10:55:00,611.0,4.1,2.51,387.18,388.22,385.92,1.4,9.2,8.9,4.36,65479.91,59.9,26.38,25.2,6.700000763,6.4
2022-03-13 11:00:00,610.5,4.2,2.59,387.12,388.18,386.38,1.4,9.2,8.9,4.36,65479.91,60.0,27.56,26.38,6.799999237,6.5
2022-03-13 11:05:00,606.0,4.0,2.49,387.38,388.18,386.38,1.3,9.1,8.8,4.29,65479.91,60.0,26.77,25.59,6.799999237,6.5
2022-03-13 11:10:00,597.0,3.6,2.19,387.02,388.12,386.12,1.2,9.0,8.7,4.22,65479.91,60.0,21.66,20.87,6.799999237,6.5
2022-03-13 11:15:00,615.0,4.2,2.58,387.42,388.08,386.62,1.1,9.1,8.9,4.27,65479.91,60.0,26.77,25.99,6.700000763,6.4
2022-03-13 11:20:00,620.0,4.4,2.82,386.96,387.76,386.42,1.0,9.3,9.2,4.36,65479.91,60.0,30.32,29.53,6.700000763,6.4
2022-03-13 11:25:00,626.5,6.0,3.8,386.88,388.14,386.24,0.8,10.4,10.4,4.83,65479.91,59.9,44.1,43.31,6.899999619,6.5
2022-03-13 11:30:00,627.5,5.5,3.48,387.38,388.58,386.78,1.2,9.9,9.9,4.7,65479.91,59.9,38.98,38.19,7.0,6.4
2022-03-13 11:35:00,636.5,6.8,4.42,386.62,388.24,386.08,0.7,11.3,11.4,5.23,65479.91,59.9,53.55,52.37,7.200000763,6.4
2022-03-13 11:40:00,627.5,7.2,4.6,386.44,388.32,386.14,1.0,11.6,11.7,5.43,65479.91,59.9,56.31,53.94,7.5,6.6
2022-03-13 11:45:00,623.0,4.5,2.86,385.62,386.62,384.72,0.9,9.4,9.3,4.36,65479.91,60.0,31.89,29.92,7.700000763,6.6
2022-03-13 11:50:00,627.5,5.0,3.19,385.78,387.18,385.22,1.3,9.6,9.5,4.55,65479.91,60.0,36.22,34.26,7.600000381,6.7
2022-03-13 11:55:00,638.5,10.7,6.9,385.62,387.96,385.78,1.0,15.8,16.1,7.35,65479.91,60.0,91.74,89.38,7.600000381,6.7
2022-03-13 12:00:00,635.5,9.7,6.24,386.88,389.18,387.18,0.8,14.5,14.8,6.74,65479.91,60.0,81.11,78.75,8.0,6.7
2022-03-13 12:05:00,631.5,8.0,5.07,386.82,388.82,386.72,0.8,12.5,12.7,5.82,65479.91,60.0,63.79,61.82,8.100000381,6.8
2022-03-13 12:10:00,632.5,9.6,6.1,387.23,389.22,387.12,0.9,14.3,14.6,6.68,65479.91,60.0,75.21,74.81,8.200000763,7.0
2022-03-13 12:15:00,634.5,8.2,5.22,386.78,388.68,386.52,0.7,12.7,12.9,5.88,65479.91,60.0,65.36,64.18,8.299999237,7.0
2022-03-13 12:20:00,632.5,7.2,4.63,386.98,388.48,386.42,1.0,11.6,11.8,5.46,65479.91,59.9,56.31,55.13,8.399999619,7.0
2022-03-13 12:25:00,636.5,9.4,6.08,386.91,389.21,386.51,1.0,14.3,14.6,6.69,65479.91,60.0,75.21,73.63,8.600000381,7.1
2022-03-13 12:30:00,636.0,10.2,6.55,386.87,389.37,386.77,1.1,15.1,15.4,7.08,65479.91,59.9,84.66,82.69,8.799999237,7.2
2022-03-13 12:35:00,637.5,7.6,4.82,388.38,389.62,387.52,0.7,12.0,12.1,5.56,65479.91,60.0,59.06,57.09,8.799999237,7.3
2022-03-13 12:40:00,628.5,8.4,5.31,387.78,389.58,387.68,1.2,12.9,13.0,6.08,65479.91,60.0,66.94,64.97,8.799999237,7.3
2022-03-13 12:45:00,624.0,5.2,3.38,386.08,387.68,385.68,1.2,9.8,9.8,4.64,65479.91,60.0,40.56,38.98,8.799999237,7.3
2022-03-13 12:50:00,611.0,4.0,2.55,385.98,387.48,385.18,1.4,9.2,8.9,4.35,65479.91,60.0,27.17,25.99,8.399999619,7.1
2022-03-13 12:55:00,604.0,3.6,2.25,386.38,387.78,385.67,1.4,9.0,8.7,4.26,65479.91,59.9,22.84,21.66,7.700000763,6.9
2022-03-13 13:00:00,606.0,4.1,2.52,385.98,388.18,386.18,1.0,9.2,9.0,4.29,65479.91,59.9,26.77,25.99,7.5,6.8
2022-03-13 13:05:00,610.0,4.6,2.89,386.48,387.98,386.08,1.2,9.5,9.3,4.47,65479.91,60.0,31.5,30.32,7.399999619,6.9
2022-03-13 13:10:00,606.0,4.9,3.01,386.12,387.94,385.84,1.0,9.5,9.4,4.44,65479.91,59.9,33.86,32.68,7.299999237,6.7
2022-03-13 13:15:00,607.0,4.0,2.49,386.92,388.48,386.42,1.1,9.0,8.8,4.23,65479.91,59.9,25.99,24.81,7.399999619,6.8
2022-03-13 13:20:00,601.0,3.7,2.27,386.15,387.95,385.68,1.3,9.0,8.8,4.26,65479.91,60.0,23.63,22.44,7.299999237,6.7
2022-03-13 13:25:00,615.0,4.4,2.72,386.98,388.58,386.78,1.3,9.2,9.1,4.39,65479.91,59.9,30.32,28.74,7.200000763,6.8
2022-03-13 13:30:00,616.0,4.4,2.79,386.62,388.22,386.42,1.2,9.3,9.2,4.4,65479.91,60.0,31.5,29.14,7.399999619,6.9
2022-03-13 13:35:00,603.0,3.8,2.38,385.92,387.62,385.82,1.2,9.0,8.8,4.24,65479.91,60.0,25.59,23.63,7.299999237,6.9
2022-03-13 13:40:00,594.5,3.8,2.3,386.38,387.58,385.72,1.1,8.9,8.7,4.17,65479.91,59.9,25.2,23.23,7.299999237,6.8
2022-03-13 13:45:00,609.0,3.4,2.17,386.92,388.22,386.32,1.2,8.9,8.6,4.18,65479.91,59.9,23.23,21.66,7.100000381,6.8
2022-03-13 13:50:00,586.0,4.4,2.61,386.17,387.57,385.77,1.2,9.2,9.1,4.35,65479.91,60.0,30.32,28.35,7.100000381,6.8
2022-03-13 13:55:00,615.0,3.7,2.34,386.02,387.52,385.58,1.2,9.0,8.8,4.24,65479.91,60.0,25.2,23.63,7.100000381,6.9
2022-03-13 14:00:00,605.0,3.3,2.07,386.18,387.88,386.06,1.2,9.0,8.7,4.22,65479.91,60.0,21.26,19.69,7.100000381,6.8
2022-03-13 14:05:00,602.0,3.2,1.98,386.53,387.92,385.88,1.2,8.8,8.6,4.15,65479.91,59.9,19.69,18.9,7.0,6.8
2022-03-13 14:10:00,600.0,3.0,1.85,386.37,387.88,385.96,1.4,8.8,8.5,4.18,65479.91,59.9,18.51,17.33,7.0,6.8
2022-03-13 14:15:00,615.0,3.5,2.2,386.93,388.13,386.13,1.5,9.0,8.7,4.29,65479.91,60.0,22.84,22.05,7.0,6.9
2022-03-13 14:20:00,605.0,2.7,1.68,387.08,388.56,386.56,1.5,8.8,8.5,4.21,65479.91,60.0,16.54,15.36,7.0,6.9
2022-03-13 14:25:00,582.0,3.1,1.85,387.32,388.52,386.58,1.3,8.8,8.5,4.16,65479.91,59.9,17.33,16.54,7.0,6.9
2022-03-13 14:30:00,595.0,3.4,2.03,387.94,388.88,386.92,1.2,8.9,8.7,4.21,65479.91,60.0,20.48,19.69,7.0,7.0
2022-03-13 14:35:00,585.0,3.7,2.23,387.88,389.28,387.08,1.4,9.0,8.7,4.28,65479.91,60.0,22.84,21.66,6.899999619,6.8
2022-03-13 14:40:00,589.0,2.9,1.76,387.75,389.32,387.68,1.3,8.8,8.6,4.19,65479.91,60.0,17.33,16.14,6.899999619,6.8
2022-03-13 14:45:00,608.0,4.2,2.59,387.82,389.42,387.54,1.0,9.2,9.1,4.33,65480.0,60.0,28.74,27.17,7.0,6.8
2022-03-13 14:50:00,609.5,4.0,2.54,387.22,389.02,387.02,1.4,9.1,8.9,4.34,65480.32000000001,59.9,27.56,26.77,7.0,6.8
2022-03-13 14:55:00,622.0,5.6,3.56,386.68,388.08,386.25,1.0,10.1,10.1,4.74,65480.91,60.0,42.13,40.95,7.0,6.8
2022-03-13 15:00:00,617.0,4.2,2.66,386.98,388.88,387.17,1.2,9.2,9.1,4.37,65481.0,60.0,30.71,29.53,7.0,6.8
2022-03-13 15:05:00,606.0,3.5,2.18,386.75,387.94,386.5,1.2,9.0,8.7,4.22,65481.91,60.0,22.84,21.66,7.0,6.7
2022-03-13 15:10:00,583.0,4.0,2.33,385.73,387.32,385.52,1.2,9.0,8.8,4.24,65481.91,59.9,25.99,24.41,6.899999619,6.6
2022-03-13 15:15:00,619.0,5.0,3.19,387.08,388.62,387.08,0.8,9.6,9.6,4.48,65482.20999999999,59.9,36.22,34.65,6.899999619,6.5
2022-03-13 15:20:00,620.0,5.0,3.1,386.52,388.38,386.74,0.8,9.6,9.6,4.47,65482.91,59.9,35.83,34.65,7.0,6.5
2022-03-13 15:25:00,618.0,4.8,2.98,387.42,389.13,387.22,1.2,9.5,9.4,4.5,65483.0,60.0,33.86,32.29,7.0,6.6
2022-03-13 15:30:00,608.0,5.6,3.47,387.43,389.12,387.34,0.9,10.0,10.0,4.68,65483.32000000001,59.9,40.95,39.77,7.100000381,6.6
2022-03-13 15:35:00,611.0,4.2,2.62,386.97,388.42,387.03,1.1,9.1,9.0,4.3,65483.91,60.0,28.35,27.17,7.100000381,6.6
2022-03-13 15:40:00,622.0,4.8,3.08,387.38,388.82,387.28,0.9,9.6,9.4,4.46,65484.0,60.0,35.44,33.86,7.100000381,6.5
2022-03-13 15:45:00,620.0,5.6,3.5,387.96,389.66,387.83,1.0,10.0,10.0,4.71,65484.91,60.0,42.53,40.95,7.100000381,6.6
2022-03-13 15:50:00,615.0,7.6,4.77,387.28,389.98,387.94,1.0,12.0,12.1,5.63,65484.91,59.9,60.24,58.67,7.299999237,6.6
2022-03-13 15:55:00,626.5,5.2,3.29,386.68,389.03,387.26,1.2,9.7,9.7,4.61,65485.32000000001,59.9,37.8,35.83,7.399999619,6.6
2022-03-13 16:00:00,617.0,5.9,3.7,387.32,389.22,387.62,1.0,10.3,10.3,4.84,65485.91,60.0,44.49,42.92,7.299999237,6.6
2022-03-13 16:05:00,635.5,7.8,5.01,385.43,387.58,385.86,0.7,12.4,12.6,5.74,65486.20999999999,60.0,63.39,61.82,7.399999619,6.6
2022-03-13 16:10:00,620.0,5.4,3.4,385.97,387.55,385.87,0.8,9.9,10.0,4.62,65486.91,60.0,39.77,38.19,7.5,6.7
2022-03-13 16:15:00,615.0,4.4,2.74,385.88,386.98,385.56,1.1,9.3,9.1,4.35,65487.0,60.0,30.32,28.74,7.399999619,6.7
2022-03-13 16:20:00,628.0,5.0,3.13,387.68,389.38,387.78,1.0,9.6,9.5,4.51,65487.32000000001,59.9,37.41,35.83,7.200000763,6.7
2022-03-13 16:25:00,544.0,7.2,3.98,388.18,389.48,388.02,1.5,10.8,10.7,5.16,65487.91,60.0,53.16,51.58,7.899999619,6.7
