
###################################################################
###################################################################
###################################################################

Current time: 2023-11-21 11:54:33.072952

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'batch_start_idx': 5, 'batch_end_idx': 21, 'dropout': 0.5, 'previous_steps': 5}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: RCNN


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.

The number of parameter in model : 210648

Epoch [1/2000], Trn Loss: 397.6276, Val Loss: 307.4941 [(kW/hour)^2], MinVal : 307.49407958984375
Epoch [2/2000], Trn Loss: 384.4471, Val Loss: 322.1638 [(kW/hour)^2], MinVal : 307.49407958984375
Epoch [3/2000], Trn Loss: 377.9541, Val Loss: 340.6742 [(kW/hour)^2], MinVal : 307.49407958984375
Epoch [4/2000], Trn Loss: 372.7602, Val Loss: 349.7191 [(kW/hour)^2], MinVal : 307.49407958984375
Epoch [5/2000], Trn Loss: 368.8331, Val Loss: 345.6040 [(kW/hour)^2], MinVal : 307.49407958984375
Epoch [6/2000], Trn Loss: 366.0220, Val Loss: 334.2289 [(kW/hour)^2], MinVal : 307.49407958984375
Epoch [7/2000], Trn Loss: 363.7246, Val Loss: 330.1824 [(kW/hour)^2], MinVal : 307.49407958984375
Epoch [8/2000], Trn Loss: 361.7752, Val Loss: 330.3409 [(kW/hour)^2], MinVal : 307.49407958984375
Epoch [9/2000], Trn Loss: 359.7226, Val Loss: 334.2319 [(kW/hour)^2], MinVal : 307.49407958984375
Epoch [10/2000], Trn Loss: 357.9500, Val Loss: 342.0337 [(kW/hour)^2], MinVal : 307.49407958984375
Epoch [11/2000], Trn Loss: 356.2504, Val Loss: 352.8141 [(kW/hour)^2], MinVal : 307.49407958984375
Epoch [12/2000], Trn Loss: 354.8158, Val Loss: 367.3882 [(kW/hour)^2], MinVal : 307.49407958984375
Epoch [13/2000], Trn Loss: 353.3091, Val Loss: 385.5586 [(kW/hour)^2], MinVal : 307.49407958984375
Epoch [14/2000], Trn Loss: 351.9926, Val Loss: 406.5873 [(kW/hour)^2], MinVal : 307.49407958984375
Epoch [15/2000], Trn Loss: 350.5560, Val Loss: 428.6766 [(kW/hour)^2], MinVal : 307.49407958984375
Epoch [16/2000], Trn Loss: 349.1352, Val Loss: 448.4871 [(kW/hour)^2], MinVal : 307.49407958984375
Epoch [17/2000], Trn Loss: 347.4805, Val Loss: 464.3191 [(kW/hour)^2], MinVal : 307.49407958984375
Epoch [18/2000], Trn Loss: 345.7720, Val Loss: 472.8300 [(kW/hour)^2], MinVal : 307.49407958984375
Epoch [19/2000], Trn Loss: 344.2046, Val Loss: 471.3011 [(kW/hour)^2], MinVal : 307.49407958984375
Epoch [20/2000], Trn Loss: 342.5607, Val Loss: 458.6141 [(kW/hour)^2], MinVal : 307.49407958984375
Epoch [21/2000], Trn Loss: 341.1575, Val Loss: 438.6731 [(kW/hour)^2], MinVal : 307.49407958984375
Epoch [22/2000], Trn Loss: 339.0930, Val Loss: 416.9736 [(kW/hour)^2], MinVal : 307.49407958984375
Epoch [23/2000], Trn Loss: 337.2719, Val Loss: 397.7667 [(kW/hour)^2], MinVal : 307.49407958984375
Epoch [24/2000], Trn Loss: 335.3872, Val Loss: 382.3027 [(kW/hour)^2], MinVal : 307.49407958984375
Epoch [25/2000], Trn Loss: 333.9583, Val Loss: 371.8337 [(kW/hour)^2], MinVal : 307.49407958984375
Epoch [26/2000], Trn Loss: 332.4341, Val Loss: 366.5345 [(kW/hour)^2], MinVal : 307.49407958984375
Epoch [27/2000], Trn Loss: 330.8500, Val Loss: 366.0354 [(kW/hour)^2], MinVal : 307.49407958984375
Epoch [28/2000], Trn Loss: 329.7206, Val Loss: 370.9579 [(kW/hour)^2], MinVal : 307.49407958984375
Epoch [29/2000], Trn Loss: 328.4259, Val Loss: 381.2751 [(kW/hour)^2], MinVal : 307.49407958984375
Epoch [30/2000], Trn Loss: 327.6599, Val Loss: 396.8280 [(kW/hour)^2], MinVal : 307.49407958984375
Epoch [31/2000], Trn Loss: 326.9005, Val Loss: 413.3550 [(kW/hour)^2], MinVal : 307.49407958984375
Epoch [32/2000], Trn Loss: 326.0754, Val Loss: 425.1297 [(kW/hour)^2], MinVal : 307.49407958984375
