date,DC_V,DC_A,DC_W,AC_V_RS,AC_V_ST,AC_V_TR,AC_A_R,AC_A_S,AC_A_T,AC_W,AC_TOT,AC_FREQ,SOL_RAD_SLOPE,SOL_RAD_LEVEL,TMP_MODU,TMP_CLI
2022-05-18 05:00:00,405.0,2.1,0.89,385.98,387.68,387.28,1.8,8.7,8.2,4.18,81377.11000000002,60.0,0.0,0.0,16.70000076,20.0
2022-05-18 05:25:00,557.5,2.8,1.56,385.58,386.98,387.28,1.6,8.7,8.4,4.18,81377.11000000002,59.9,0.0,11.02,18.20000076,20.5
2022-05-18 05:30:00,552.5,3.2,1.79,385.12,386.64,386.83,1.5,8.8,8.5,4.2,81377.11000000002,59.9,11.81,14.57,18.5,20.6
2022-05-18 05:35:00,586.0,3.5,2.12,385.56,386.92,387.22,1.2,9.0,8.8,4.24,81377.11000000002,60.0,18.11,20.87,18.20000076,20.5
2022-05-18 05:40:00,588.0,4.0,2.46,385.18,386.78,386.92,1.4,9.1,8.9,4.33,81377.11000000002,60.0,22.84,25.59,18.29999924,20.7
2022-05-18 05:45:00,593.0,4.9,2.96,385.28,386.98,387.0,0.9,9.5,9.4,4.42,81377.91,60.0,30.71,33.86,18.40000153,20.8
2022-05-18 05:50:00,589.5,5.5,3.28,385.18,386.92,386.92,1.2,9.8,9.8,4.64,81377.91,60.0,37.41,40.56,18.59999847,20.9
2022-05-18 05:55:00,600.0,6.5,3.94,385.18,387.18,386.98,1.1,10.7,10.8,5.05,81378.32,59.9,48.04,51.19,18.79999924,20.9
2022-05-18 06:00:00,605.0,7.2,4.44,385.32,387.27,387.02,1.0,11.5,11.6,5.38,81378.91,59.9,56.7,59.85,19.0,21.0
2022-05-18 06:05:00,601.0,8.6,5.22,386.51,388.35,388.35,0.9,12.9,13.1,6.03,81379.20999999999,60.0,68.91,71.66,19.70000076,21.0
2022-05-18 06:10:00,611.0,9.2,5.7,386.98,388.98,388.48,1.1,13.8,14.0,6.48,81379.91,59.9,76.78,79.93,20.0,21.1
2022-05-18 06:15:00,615.0,10.6,6.58,388.07,390.07,389.63,1.2,15.4,15.8,7.29,81380.32,60.0,90.56,93.71,20.5,21.1
2022-05-18 06:20:00,608.0,11.6,7.14,388.14,389.94,389.48,1.4,16.6,16.9,7.85,81380.91,60.0,98.83,101.98,20.79999924,21.1
2022-05-18 06:25:00,611.0,13.0,7.96,388.78,390.66,390.16,1.8,18.2,18.6,8.7,81381.91,59.9,111.82,114.97,21.29999924,21.1
2022-05-18 06:30:00,606.5,14.2,8.66,389.18,391.23,390.92,2.2,19.5,20.1,9.43,81382.32,60.0,122.06,125.61,21.59999847,21.3
2022-05-18 06:35:00,614.0,15.4,9.5,389.16,391.58,391.08,2.7,21.5,22.0,10.43,81383.32,60.0,136.63,139.39,22.40000153,21.5
2022-05-18 06:40:00,614.0,16.4,10.08,388.35,390.98,390.53,3.1,22.7,23.3,11.07,81384.0,60.0,144.51,148.05,22.90000153,21.6
2022-05-18 06:45:00,606.0,18.4,11.22,388.78,391.22,390.88,3.2,25.1,25.8,12.21,81385.20999999999,59.9,161.83,165.38,23.5,21.7
2022-05-18 06:50:00,608.0,19.0,11.66,388.76,391.17,390.77,4.2,26.3,27.0,12.97,81386.0,60.0,169.31,173.25,23.70000076,21.8
2022-05-18 06:55:00,608.5,20.4,12.54,388.62,391.19,390.42,4.0,28.4,29.0,13.85,81387.41,60.0,182.31,186.24,24.5,22.1
2022-05-18 07:00:00,610.0,21.6,13.2,388.88,391.48,391.28,5.1,29.7,30.7,14.79,81388.32,60.0,194.12,197.27,24.79999924,22.1
2022-05-18 07:05:00,604.0,23.8,14.48,388.74,391.34,391.02,6.2,32.5,33.6,16.32,81389.91,59.9,213.81,217.74,25.5,22.3
2022-05-18 07:10:00,606.0,24.8,15.01,388.54,391.82,391.13,6.5,33.1,34.5,16.74,81391.0,59.9,222.47,226.41,26.09999847,22.2
2022-05-18 07:15:00,603.0,26.5,16.1,388.35,391.48,391.13,5.5,36.8,37.5,18.02,81392.91,59.9,239.79,244.13,26.20000076,22.4
2022-05-18 07:20:00,599.0,28.0,16.92,388.68,392.18,391.62,6.4,38.6,39.5,19.11,81394.0,60.0,252.79,257.12,26.79999924,22.4
2022-05-18 07:25:00,600.0,29.6,17.94,388.42,391.62,391.32,8.5,40.2,41.6,20.39,81396.0,60.0,270.51,274.05,27.90000153,22.6
2022-05-18 07:30:00,593.0,31.0,18.48,388.32,391.82,391.42,6.7,42.4,43.5,20.92,81397.32,59.9,280.74,284.29,28.90000153,22.9
2022-05-18 07:35:00,591.0,32.4,19.34,389.12,392.37,391.73,7.1,44.5,45.7,22.01,81399.5,59.9,295.71,299.64,30.09999847,23.1
2022-05-18 07:40:00,588.0,34.1,20.0,389.28,392.58,391.98,10.6,44.8,46.7,23.1,81401.0,60.0,307.52,311.06,30.09999847,23.0
2022-05-18 07:45:00,585.0,35.2,20.68,389.13,392.47,391.87,11.3,46.2,48.4,23.96,81403.41,60.0,319.73,323.66,30.40000153,23.3
2022-05-18 07:50:00,585.0,36.0,21.35,389.34,392.78,392.24,7.8,49.6,51.0,24.55,81405.0,60.0,331.93,336.26,31.40000153,23.7
2022-05-18 07:55:00,577.0,38.3,22.28,389.38,392.98,392.88,11.5,50.6,52.6,26.0,81407.5,59.9,350.44,354.38,32.59999847,24.0
2022-05-18 08:00:00,576.0,40.3,23.0,389.72,393.45,392.92,12.3,52.1,54.4,26.94,81409.20999999999,60.0,364.61,368.55,32.90000153,23.9
2022-05-18 08:05:00,573.0,41.2,23.98,389.02,392.62,392.32,13.4,54.3,56.5,28.11,81412.0,60.0,383.91,388.24,34.59999847,24.7
2022-05-18 08:10:00,579.0,42.5,24.58,388.84,392.87,392.58,9.0,58.1,59.7,28.73,81413.91,60.0,395.33,399.66,35.5,25.2
2022-05-18 08:15:00,570.0,45.0,25.55,389.04,392.82,392.64,14.1,58.3,60.6,30.13,81416.82,60.0,415.41,420.52,35.70000076,25.1
2022-05-18 08:20:00,573.0,47.3,26.7,389.38,393.18,392.98,16.1,60.1,62.6,31.47,81418.91,60.0,437.85,443.36,35.5,25.0
2022-05-18 08:25:00,557.0,48.9,27.44,389.58,393.66,393.34,16.5,61.8,64.4,32.38,81422.11000000002,60.0,453.6,458.72,36.79999924,25.9
2022-05-18 08:30:00,561.0,49.3,27.58,389.44,393.75,393.53,16.0,62.4,64.9,32.53,81424.20999999999,60.0,457.54,463.05,37.79999924,26.3
2022-05-18 08:40:00,565.0,50.1,28.1,389.74,393.13,393.13,17.4,62.8,65.3,32.99,81429.70999999999,59.8,470.53,476.04,40.29999924,26.6
2022-05-18 08:45:00,573.0,49.3,28.78,389.64,393.64,393.14,19.0,63.0,65.4,33.44,81433.0,59.9,484.31,489.83,38.59999847,26.1
2022-05-18 08:50:00,588.0,48.8,29.4,389.92,393.62,393.82,20.8,62.7,65.5,33.82,81435.20999999999,59.8,515.81,520.54,39.79999924,27.1
2022-05-18 08:55:00,572.0,51.1,29.95,389.86,393.54,393.28,18.6,67.2,70.0,35.35,81438.70999999999,60.0,527.23,531.96,40.29999924,27.8
2022-05-18 09:00:00,576.0,51.3,29.62,389.42,393.91,393.27,10.4,69.4,71.2,34.29,81441.0,59.9,499.27,502.82,39.20000076,28.1
2022-05-18 09:05:00,589.0,55.1,30.99,390.68,394.48,393.98,21.4,67.0,69.2,35.83,81444.20999999999,60.0,512.66,522.11,41.20000076,28.6
2022-05-18 09:10:00,569.0,25.8,14.8,388.91,391.14,390.74,6.5,33.1,34.4,16.69,81445.41,59.9,229.56,233.49,39.70000076,28.0
2022-05-18 09:15:00,578.0,25.4,14.78,389.42,391.32,391.22,6.5,33.0,34.3,16.66,81447.0,59.9,229.95,233.1,35.29999924,27.8
2022-05-18 09:20:00,579.0,27.6,15.96,389.24,391.61,391.57,7.6,35.8,37.4,18.26,81448.20999999999,60.0,250.82,254.36,33.70000076,27.3
2022-05-18 09:25:00,590.5,30.1,17.84,389.03,392.18,391.72,6.3,41.7,42.5,20.47,81450.11000000002,60.0,279.96,283.11,30.29999924,26.4
2022-05-18 09:30:00,588.0,32.0,18.84,388.46,391.48,391.08,6.4,44.2,45.3,21.65,81451.5,59.9,297.67,300.83,30.70000076,26.3
