
###################################################################
###################################################################
###################################################################

Current time: 2023-11-02 11:34:58.043445

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'batch_start_idx': 5, 'batch_end_idx': 21, 'dropout': 0.8, 'previous_steps': 5}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: correction_LSTMs


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.

The number of parameter in first model : 203016

The number of parameter in second model : 201480

Epoch [1/2000], First Loss: 393.7074, Second Loss: -77777.0000, Val Loss: 339.7920 [(kW/hour)^2], MinVal : 339.7919616699219
Epoch [2/2000], First Loss: 391.4256, Second Loss: -77777.0000, Val Loss: 337.7376 [(kW/hour)^2], MinVal : 337.7376403808594
Epoch [3/2000], First Loss: 389.0834, Second Loss: -77777.0000, Val Loss: 335.5275 [(kW/hour)^2], MinVal : 335.52752685546875
Epoch [4/2000], First Loss: 386.5627, Second Loss: -77777.0000, Val Loss: 333.0464 [(kW/hour)^2], MinVal : 333.04638671875
Epoch [5/2000], First Loss: 383.7317, Second Loss: -77777.0000, Val Loss: 330.1320 [(kW/hour)^2], MinVal : 330.13201904296875
Epoch [6/2000], First Loss: 380.4051, Second Loss: -77777.0000, Val Loss: 326.5353 [(kW/hour)^2], MinVal : 326.5352783203125
Epoch [7/2000], First Loss: 376.2994, Second Loss: -77777.0000, Val Loss: 321.8708 [(kW/hour)^2], MinVal : 321.8707580566406
Epoch [8/2000], First Loss: 370.9725, Second Loss: -77777.0000, Val Loss: 315.5281 [(kW/hour)^2], MinVal : 315.5281066894531
Epoch [9/2000], First Loss: 363.7224, Second Loss: -77777.0000, Val Loss: 306.5504 [(kW/hour)^2], MinVal : 306.5503845214844
Epoch [10/2000], First Loss: 353.4404, Second Loss: -77777.0000, Val Loss: 293.7691 [(kW/hour)^2], MinVal : 293.7691345214844
Epoch [11/2000], First Loss: 338.7306, Second Loss: -77777.0000, Val Loss: 276.9809 [(kW/hour)^2], MinVal : 276.9809265136719
Epoch [12/2000], First Loss: 319.1895, Second Loss: -77777.0000, Val Loss: 258.7016 [(kW/hour)^2], MinVal : 258.70159912109375
Epoch [13/2000], First Loss: 297.4523, Second Loss: -77777.0000, Val Loss: 242.7518 [(kW/hour)^2], MinVal : 242.7517852783203
Epoch [14/2000], First Loss: 277.8605, Second Loss: -77777.0000, Val Loss: 230.7156 [(kW/hour)^2], MinVal : 230.7156219482422
Epoch [15/2000], First Loss: 262.4528, Second Loss: -77777.0000, Val Loss: 221.9983 [(kW/hour)^2], MinVal : 221.99830627441406
Epoch [16/2000], First Loss: 250.7465, Second Loss: -77777.0000, Val Loss: 215.6657 [(kW/hour)^2], MinVal : 215.66567993164062
Epoch [17/2000], First Loss: 241.7722, Second Loss: -77777.0000, Val Loss: 210.8680 [(kW/hour)^2], MinVal : 210.86795043945312
Epoch [18/2000], First Loss: 234.6484, Second Loss: -77777.0000, Val Loss: 207.0472 [(kW/hour)^2], MinVal : 207.04722595214844
Epoch [19/2000], First Loss: 228.7666, Second Loss: -77777.0000, Val Loss: 203.9937 [(kW/hour)^2], MinVal : 203.99374389648438
Epoch [20/2000], First Loss: 223.8440, Second Loss: -77777.0000, Val Loss: 201.5825 [(kW/hour)^2], MinVal : 201.58253479003906
Epoch [21/2000], First Loss: 219.7437, Second Loss: -77777.0000, Val Loss: 199.7272 [(kW/hour)^2], MinVal : 199.72715759277344
Epoch [22/2000], First Loss: 216.3744, Second Loss: -77777.0000, Val Loss: 198.3138 [(kW/hour)^2], MinVal : 198.3137664794922
Epoch [23/2000], First Loss: 213.6176, Second Loss: -77777.0000, Val Loss: 197.2235 [(kW/hour)^2], MinVal : 197.22348022460938
Epoch [24/2000], First Loss: 211.3259, Second Loss: -77777.0000, Val Loss: 196.3254 [(kW/hour)^2], MinVal : 196.32542419433594
Epoch [25/2000], First Loss: 209.3885, Second Loss: -77777.0000, Val Loss: 195.5994 [(kW/hour)^2], MinVal : 195.59939575195312
Epoch [26/2000], First Loss: 207.6834, Second Loss: -77777.0000, Val Loss: 194.9070 [(kW/hour)^2], MinVal : 194.90704345703125
Epoch [27/2000], First Loss: 206.1886, Second Loss: -77777.0000, Val Loss: 194.2585 [(kW/hour)^2], MinVal : 194.25851440429688
Epoch [28/2000], First Loss: 204.8501, Second Loss: -77777.0000, Val Loss: 193.6380 [(kW/hour)^2], MinVal : 193.63804626464844
Epoch [29/2000], First Loss: 203.6549, Second Loss: -77777.0000, Val Loss: 192.7874 [(kW/hour)^2], MinVal : 192.78736877441406
Epoch [30/2000], First Loss: 202.3492, Second Loss: -77777.0000, Val Loss: 192.2635 [(kW/hour)^2], MinVal : 192.26351928710938
Epoch [31/2000], First Loss: 201.2703, Second Loss: -77777.0000, Val Loss: 191.5845 [(kW/hour)^2], MinVal : 191.58453369140625
Epoch [32/2000], First Loss: 200.3739, Second Loss: -77777.0000, Val Loss: 190.6616 [(kW/hour)^2], MinVal : 190.66156005859375
Epoch [33/2000], First Loss: 199.3876, Second Loss: -77777.0000, Val Loss: 189.9017 [(kW/hour)^2], MinVal : 189.90174865722656
Epoch [34/2000], First Loss: 198.3869, Second Loss: -77777.0000, Val Loss: 189.0909 [(kW/hour)^2], MinVal : 189.0908966064453
Epoch [35/2000], First Loss: 197.5545, Second Loss: -77777.0000, Val Loss: 188.5557 [(kW/hour)^2], MinVal : 188.55572509765625
Epoch [36/2000], First Loss: 196.8546, Second Loss: -77777.0000, Val Loss: 187.8703 [(kW/hour)^2], MinVal : 187.8703155517578
Epoch [37/2000], First Loss: 196.7762, Second Loss: -77777.0000, Val Loss: 187.9566 [(kW/hour)^2], MinVal : 187.8703155517578
Epoch [38/2000], First Loss: 196.2746, Second Loss: -77777.0000, Val Loss: 187.3658 [(kW/hour)^2], MinVal : 187.3657684326172
Epoch [39/2000], First Loss: 195.7746, Second Loss: -77777.0000, Val Loss: 186.9399 [(kW/hour)^2], MinVal : 186.9398651123047
Epoch [40/2000], First Loss: 195.1788, Second Loss: -77777.0000, Val Loss: 186.4161 [(kW/hour)^2], MinVal : 186.41610717773438
Epoch [41/2000], First Loss: 194.6456, Second Loss: -77777.0000, Val Loss: 186.0492 [(kW/hour)^2], MinVal : 186.04917907714844
Epoch [42/2000], First Loss: 194.1411, Second Loss: -77777.0000, Val Loss: 185.6390 [(kW/hour)^2], MinVal : 185.63900756835938
Epoch [43/2000], First Loss: 193.6159, Second Loss: -77777.0000, Val Loss: 185.0560 [(kW/hour)^2], MinVal : 185.0559844970703
Epoch [44/2000], First Loss: 193.1193, Second Loss: -77777.0000, Val Loss: 184.7412 [(kW/hour)^2], MinVal : 184.74124145507812
Epoch [45/2000], First Loss: 192.7173, Second Loss: -77777.0000, Val Loss: 184.6955 [(kW/hour)^2], MinVal : 184.69552612304688
Epoch [46/2000], First Loss: 192.0757, Second Loss: -77777.0000, Val Loss: 184.0887 [(kW/hour)^2], MinVal : 184.08865356445312
Epoch [47/2000], First Loss: 191.4156, Second Loss: -77777.0000, Val Loss: 183.2701 [(kW/hour)^2], MinVal : 183.27011108398438
