date,DC_V,DC_A,DC_W,AC_V_RS,AC_V_ST,AC_V_TR,AC_A_R,AC_A_S,AC_A_T,AC_W,AC_TOT,AC_FREQ,SOL_RAD_SLOPE,SOL_RAD_LEVEL,TMP_MODU,TMP_CLI
2022-07-04 05:00:00,234.5,2.4,0.59,385.13,385.53,385.13,1.8,8.8,8.4,4.23,93715.91,60.0,0.0,0.0,26.40000153,28.0
2022-07-04 05:05:00,387.5,2.4,0.97,385.68,386.08,385.68,1.6,8.8,8.5,4.21,93715.91,60.0,0.0,0.0,26.29999924,27.9
2022-07-04 05:15:00,476.0,2.6,1.26,385.58,386.08,385.5,1.5,8.8,8.4,4.16,93715.91,60.0,0.0,9.45,26.29999924,27.8
2022-07-04 05:20:00,529.0,2.5,1.34,385.38,385.92,385.58,1.6,8.8,8.4,4.19,93715.91,59.9,0.0,9.84,26.29999924,27.7
2022-07-04 05:25:00,551.0,2.6,1.43,385.42,385.88,385.52,1.6,8.8,8.4,4.19,93715.91,60.0,0.0,11.02,26.5,28.0
2022-07-04 05:30:00,532.0,2.8,1.45,386.02,386.32,385.98,1.6,8.7,8.4,4.17,93715.91,59.9,0.0,11.42,26.5,28.0
2022-07-04 05:35:00,531.0,3.2,1.76,385.47,385.78,385.48,1.4,8.9,8.6,4.21,93715.91,60.0,12.99,16.14,26.20000076,27.6
2022-07-04 05:40:00,558.0,4.2,2.37,385.78,385.98,386.02,1.5,9.1,8.8,4.32,93715.91,59.9,22.44,25.59,26.40000153,27.8
2022-07-04 05:45:00,566.0,5.0,2.88,385.48,386.16,385.82,1.0,9.4,9.3,4.39,93716.11000000002,60.0,32.68,35.44,26.90000153,27.9
2022-07-04 05:50:00,562.0,4.6,2.64,385.24,386.14,385.76,1.1,9.2,9.0,4.3,93716.41,59.9,26.77,29.92,27.09999847,27.9
2022-07-04 05:55:00,555.0,5.1,2.86,384.18,385.18,384.64,1.2,9.4,9.3,4.42,93716.91,60.0,29.92,33.08,27.20000076,27.8
2022-07-04 06:00:00,568.5,5.0,2.92,385.12,385.78,385.52,0.9,9.5,9.4,4.41,93717.21,59.9,31.5,34.26,27.29999924,27.8
2022-07-04 06:05:00,571.0,5.3,3.1,384.28,385.02,384.62,1.1,9.6,9.6,4.51,93717.91,60.0,34.26,37.41,27.5,27.8
2022-07-04 06:10:00,563.0,5.2,3.0,384.58,385.38,385.28,1.0,9.5,9.4,4.43,93717.91,60.0,32.29,35.44,27.59999847,27.8
2022-07-04 06:15:00,565.0,5.4,3.13,384.88,385.22,385.12,1.1,9.7,9.7,4.56,93718.41,60.0,35.04,38.19,27.70000076,27.9
2022-07-04 06:20:00,580.0,5.4,3.16,384.78,385.07,384.98,1.3,9.7,9.7,4.6,93718.91,59.9,35.44,38.59,27.59999847,27.8
2022-07-04 06:25:00,564.0,5.8,3.3,384.92,385.42,385.02,0.8,9.8,9.9,4.56,93719.11000000002,60.0,37.41,40.16,27.5,27.7
2022-07-04 06:30:00,566.0,5.8,3.37,385.96,386.46,385.92,1.0,9.9,10.0,4.66,93719.91,60.0,37.8,40.56,27.70000076,27.8
2022-07-04 06:35:00,570.0,6.6,3.82,386.15,386.65,386.28,0.8,10.5,10.6,4.89,93719.91,60.0,44.1,46.86,27.79999924,27.8
2022-07-04 06:40:00,581.0,6.6,3.88,386.06,386.58,386.04,1.0,10.6,10.8,4.99,93720.21,60.0,44.49,47.25,27.90000153,27.9
2022-07-04 06:45:00,578.0,6.6,3.84,386.18,386.28,385.98,1.1,10.6,10.7,4.99,93720.91,59.9,42.92,45.67,27.90000153,27.9
2022-07-04 06:50:00,579.0,7.4,4.3,385.98,386.38,386.26,0.7,11.3,11.4,5.22,93721.11000000002,60.0,51.19,53.94,27.79999924,27.8
2022-07-04 06:55:00,577.0,8.2,4.74,386.04,386.42,386.14,0.7,12.1,12.3,5.6,93721.91,60.0,58.28,60.64,27.90000153,27.7
2022-07-04 07:00:00,580.0,9.4,5.52,385.42,385.94,385.78,1.0,13.5,13.7,6.28,93722.0,59.9,70.09,72.45,28.0,27.6
2022-07-04 07:05:00,592.0,11.4,6.82,385.52,386.52,385.78,1.1,15.9,16.3,7.42,93722.91,59.9,88.99,91.35,28.5,27.8
2022-07-04 07:10:00,588.0,12.6,7.52,385.64,386.48,385.92,1.4,17.3,17.7,8.11,93723.21,59.9,100.01,101.98,28.90000153,27.8
2022-07-04 07:15:00,583.0,12.4,7.32,385.62,386.42,385.88,1.2,16.9,17.2,7.87,93724.0,60.0,96.47,98.83,29.70000076,28.1
2022-07-04 07:20:00,582.0,12.4,7.24,386.68,387.47,386.97,1.3,16.7,17.1,7.85,93724.91,60.0,94.11,96.07,29.5,27.9
2022-07-04 07:25:00,566.0,29.8,16.9,387.48,389.68,388.96,7.6,38.5,39.9,19.32,93725.91,60.0,258.3,257.51,30.0,27.8
2022-07-04 07:30:00,585.0,32.8,19.12,386.28,388.92,388.16,9.2,43.5,44.9,21.88,93727.11000000002,60.0,295.71,293.74,32.5,28.2
2022-07-04 07:35:00,589.0,21.8,12.9,387.26,388.56,387.69,4.5,29.0,29.8,14.18,93728.91,60.0,169.71,170.1,34.29999924,28.7
2022-07-04 07:40:00,625.0,24.6,15.46,386.93,389.02,388.22,6.8,34.3,35.5,17.18,93729.91,60.0,256.33,255.54,34.29999924,28.8
2022-07-04 07:45:00,573.0,33.9,19.32,387.32,389.83,388.92,10.3,43.4,45.2,22.22,93731.71,59.9,302.01,300.43,35.90000153,29.2
2022-07-04 07:50:00,569.0,38.1,21.57,387.88,390.52,389.72,12.5,47.9,49.9,24.83,93733.32,60.0,344.14,342.17,37.5,29.9
2022-07-04 07:55:00,568.0,37.6,21.29,387.58,390.38,389.58,11.2,48.0,49.7,24.5,93735.91,60.0,336.26,335.48,39.59999847,30.8
2022-07-04 08:00:00,569.0,18.4,10.52,386.22,387.36,386.98,3.3,23.6,24.3,11.44,93737.0,59.9,154.35,157.5,39.29999924,31.1
2022-07-04 08:05:00,548.0,42.4,23.14,384.37,387.48,386.18,13.3,52.8,55.1,27.05,93738.91,59.9,376.82,374.85,38.70000076,31.2
