date,DC_V,DC_A,DC_W,AC_V_RS,AC_V_ST,AC_V_TR,AC_A_R,AC_A_S,AC_A_T,AC_W,AC_TOT,AC_FREQ,SOL_RAD_SLOPE,SOL_RAD_LEVEL,TMP_MODU,TMP_CLI
2022-07-18 05:05:00,291.5,2.7,0.82,388.98,389.62,389.42,1.5,8.8,8.4,4.2,96793.91,60.0,0.0,0.0,23.5,25.1
2022-07-18 05:15:00,439.5,3.0,1.37,388.44,388.94,388.57,1.6,8.7,8.4,4.2,96793.91,59.9,0.0,0.0,23.59999847,25.1
2022-07-18 05:20:00,485.0,3.1,1.58,388.06,388.66,388.53,1.6,8.7,8.4,4.19,96793.91,60.0,0.0,9.84,23.5,25.0
2022-07-18 05:25:00,563.0,3.7,2.1,388.68,389.15,389.18,1.6,8.9,8.6,4.29,96793.91,60.0,14.96,16.93,23.59999847,25.0
2022-07-18 05:30:00,576.5,4.2,2.48,388.06,388.86,388.72,1.2,9.0,8.8,4.26,96793.91,60.0,22.44,24.02,23.79999924,25.1
2022-07-18 05:35:00,573.5,5.6,3.31,388.38,388.98,388.98,1.3,9.6,9.5,4.58,96793.91,60.0,36.62,38.59,24.0,24.8
2022-07-18 05:40:00,583.0,6.0,3.53,387.52,388.12,387.99,1.3,9.7,9.7,4.64,96794.21,60.0,40.16,41.74,24.09999847,24.7
2022-07-18 05:45:00,584.0,7.1,4.19,388.32,389.47,389.33,0.8,10.5,10.6,4.92,96794.91,60.0,50.79,52.37,24.29999924,24.6
2022-07-18 05:50:00,583.0,7.0,4.13,388.72,389.62,389.38,0.7,10.4,10.6,4.88,96795.0,60.0,52.76,53.94,24.40000153,24.6
2022-07-18 05:55:00,576.0,5.8,3.42,388.82,389.68,389.46,1.4,9.6,9.5,4.61,96795.91,60.0,35.04,37.01,24.29999924,24.6
2022-07-18 06:00:00,586.0,6.6,3.86,388.37,389.42,389.27,1.0,10.1,10.2,4.79,96795.91,60.0,43.71,45.67,24.59999847,25.0
2022-07-18 06:05:00,599.0,7.6,4.68,388.04,389.14,388.96,0.8,11.3,11.5,5.3,96796.32,60.0,58.67,59.85,24.90000153,24.9
2022-07-18 06:10:00,583.0,9.2,5.48,388.58,389.48,389.28,0.7,12.7,12.9,5.91,96796.91,60.0,74.42,74.81,24.90000153,24.7
2022-07-18 06:15:00,572.5,4.7,2.74,388.04,388.62,388.42,1.3,9.2,8.9,4.35,96797.11000000002,59.9,24.81,26.77,24.40000153,24.4
2022-07-18 06:20:00,557.0,4.4,2.49,387.82,388.52,388.32,1.3,9.0,8.8,4.28,96797.91,60.0,21.26,23.23,24.20000076,24.7
2022-07-18 06:25:00,566.5,4.8,2.72,388.97,389.17,389.37,1.5,9.2,8.9,4.4,96797.91,60.0,25.2,27.17,24.20000076,25.0
2022-07-18 06:30:00,577.0,4.8,2.77,387.08,387.63,387.28,1.3,9.1,8.9,4.32,96798.21,60.0,25.59,27.56,24.29999924,25.0
2022-07-18 06:35:00,573.0,4.7,2.7,387.67,388.38,388.38,1.1,9.1,8.9,4.28,96798.91,59.9,23.63,25.99,24.20000076,24.9
2022-07-18 06:40:00,574.5,5.4,3.15,388.02,388.68,388.73,1.1,9.5,9.4,4.49,96798.91,60.0,31.11,33.08,24.0,24.6
2022-07-18 06:45:00,574.0,7.0,4.09,388.38,389.04,388.88,0.9,10.5,10.7,4.96,96799.41,59.9,45.67,47.64,24.59999847,25.2
2022-07-18 06:50:00,592.0,8.4,5.06,388.55,389.55,389.28,1.1,12.1,12.2,5.71,96799.91,60.0,63.0,64.57,25.09999847,25.4
2022-07-18 06:55:00,592.0,11.8,7.02,388.98,390.18,390.07,1.1,15.7,16.1,7.41,96800.41,60.0,95.29,96.07,25.59999847,25.2
2022-07-18 07:00:00,586.0,14.2,8.44,388.68,390.13,390.03,1.6,18.4,18.8,8.74,96801.0,59.9,111.43,111.82,26.40000153,25.5
2022-07-18 07:05:00,585.5,12.4,7.3,388.63,390.13,389.83,1.3,16.2,16.6,7.68,96801.91,59.9,97.26,98.04,27.09999847,25.4
2022-07-18 07:10:00,592.0,11.8,7.02,388.84,390.04,389.74,1.0,15.8,16.1,7.4,96802.32,60.0,92.93,94.11,27.0,25.4
2022-07-18 07:15:00,599.0,17.8,10.64,389.38,391.08,390.58,3.2,23.3,23.9,11.37,96803.11000000002,60.0,148.84,148.44,27.5,25.6
2022-07-18 07:20:00,597.0,27.8,16.54,389.48,392.12,391.72,8.2,35.9,37.2,18.38,96804.32,60.0,245.7,243.34,29.40000153,26.0
2022-07-18 07:25:00,574.0,19.3,11.04,388.92,390.92,390.26,3.2,24.5,25.1,11.9,96805.91,60.0,160.65,159.47,31.59999847,26.5
2022-07-18 07:30:00,573.0,18.0,10.46,390.07,391.38,391.08,3.2,22.6,23.3,11.09,96806.91,59.9,144.9,144.9,30.90000153,26.6
2022-07-18 07:35:00,579.0,8.1,4.76,389.12,389.43,389.03,0.9,11.6,11.9,5.48,96807.32,60.0,57.09,59.06,29.09999847,26.4
2022-07-18 07:40:00,586.0,8.0,4.72,389.48,390.18,389.88,0.7,11.5,11.7,5.38,96807.91,60.0,57.49,58.67,28.20000076,26.2
2022-07-18 07:45:00,579.0,13.2,7.74,390.28,390.98,390.78,1.3,17.2,17.6,8.14,96808.41,60.0,111.04,111.43,27.79999924,26.2
2022-07-18 07:50:00,591.0,12.2,7.3,390.12,390.72,390.42,1.2,16.3,16.7,7.71,96808.91,60.0,103.56,103.95,27.90000153,26.1
