date,DC_V,DC_A,DC_W,AC_V_RS,AC_V_ST,AC_V_TR,AC_A_R,AC_A_S,AC_A_T,AC_W,AC_TOT,AC_FREQ,SOL_RAD_SLOPE,SOL_RAD_LEVEL,TMP_MODU,TMP_CLI
2022-07-16 05:00:00,322.0,2.6,0.89,386.03,385.93,385.52,1.8,8.8,8.4,4.23,96248.91,59.9,0.0,0.0,19.5,21.8
2022-07-16 05:10:00,387.5,2.7,1.08,385.21,385.11,384.71,1.4,8.8,8.4,4.13,96248.91,59.9,0.0,0.0,19.40000153,21.9
2022-07-16 05:15:00,367.5,2.8,1.06,385.92,385.78,385.22,1.8,8.7,8.4,4.21,96248.91,59.9,0.0,0.0,19.5,22.0
2022-07-16 05:20:00,449.0,2.8,1.3,385.77,385.68,385.47,1.8,8.8,8.4,4.23,96248.91,59.9,0.0,0.0,19.59999847,21.9
2022-07-16 05:25:00,382.5,3.0,1.16,385.18,385.18,384.88,1.6,8.8,8.4,4.18,96248.91,60.0,9.06,9.06,19.59999847,21.9
2022-07-16 05:30:00,505.5,3.0,1.52,385.58,385.46,385.38,1.4,8.8,8.5,4.16,96248.91,60.0,10.24,10.24,19.59999847,21.8
2022-07-16 05:35:00,550.0,3.1,1.7,384.89,384.8,384.8,1.6,8.9,8.5,4.22,96248.91,59.9,11.02,10.63,20.0,21.7
2022-07-16 05:40:00,564.5,3.2,1.83,385.38,385.38,384.68,1.8,8.8,8.5,4.25,96248.91,59.9,12.21,12.21,20.09999847,21.6
2022-07-16 05:45:00,560.5,3.5,1.98,385.42,385.12,384.82,1.3,8.8,8.5,4.13,96248.91,59.9,14.96,14.96,20.70000076,22.1
2022-07-16 05:50:00,564.0,4.3,2.43,385.66,385.66,385.18,1.1,9.0,8.8,4.2,96248.91,59.9,21.66,21.66,21.0,22.2
2022-07-16 05:55:00,588.0,5.0,3.04,385.35,385.93,385.57,1.1,9.4,9.3,4.41,96248.91,59.9,31.11,31.5,21.20000076,22.1
2022-07-16 06:00:00,595.0,5.8,3.48,385.58,386.17,385.68,1.0,9.8,9.7,4.57,96249.11000000002,60.0,37.41,38.19,21.40000153,22.1
2022-07-16 06:05:00,579.0,7.0,4.14,384.72,385.42,384.88,0.8,10.7,10.8,4.96,96249.91,59.9,46.07,47.25,21.90000153,22.3
2022-07-16 06:10:00,586.0,7.1,4.25,384.98,385.58,385.08,1.0,10.8,11.0,5.07,96250.0,60.0,46.86,48.43,22.0,22.3
2022-07-16 06:15:00,575.0,11.4,6.56,385.34,386.33,385.73,0.9,15.0,15.3,6.95,96250.91,60.0,87.81,88.59,22.09999847,22.2
2022-07-16 06:20:00,609.0,15.0,9.26,385.42,386.53,386.22,2.2,20.4,20.9,9.7,96251.0,60.0,131.91,131.51,22.70000076,22.5
2022-07-16 06:25:00,602.0,17.6,10.68,385.62,387.02,386.42,3.5,23.4,24.2,11.41,96252.11000000002,60.0,155.53,154.35,24.40000153,23.0
2022-07-16 06:30:00,596.0,13.0,7.78,385.37,386.28,385.68,1.3,17.3,17.7,8.09,96252.91,60.0,101.59,102.77,24.59999847,23.0
