date,DC_V,DC_A,DC_W,AC_V_RS,AC_V_ST,AC_V_TR,AC_A_R,AC_A_S,AC_A_T,AC_W,AC_TOT,AC_FREQ,SOL_RAD_SLOPE,SOL_RAD_LEVEL,TMP_MODU,TMP_CLI
2022-07-13 05:05:00,298.0,2.6,0.81,385.36,385.87,385.17,1.6,8.7,8.3,4.14,95732.21,59.9,0.0,0.0,20.5,21.4
2022-07-13 05:10:00,295.0,2.6,0.81,385.58,385.88,385.52,1.8,8.8,8.4,4.23,95732.21,60.0,0.0,0.0,20.59999847,21.4
2022-07-13 05:20:00,506.0,2.7,1.41,385.62,385.82,385.46,1.6,8.8,8.4,4.19,95732.21,60.0,0.0,0.0,20.70000076,21.5
2022-07-13 05:30:00,218.5,2.9,0.65,385.17,385.58,385.08,1.5,8.8,8.4,4.16,95732.21,59.9,9.84,9.06,20.79999924,21.5
2022-07-13 05:45:00,569.0,3.0,1.74,384.86,385.06,384.88,1.5,8.8,8.5,4.18,95732.21,59.9,12.99,12.6,20.90000153,21.5
2022-07-13 05:50:00,567.0,3.2,1.87,384.52,385.02,384.52,1.4,8.8,8.5,4.15,95732.21,60.0,14.57,14.57,21.0,21.5
2022-07-13 05:55:00,565.0,3.5,2.05,384.58,384.92,384.62,1.3,8.9,8.6,4.17,95732.21,60.0,17.72,17.33,21.20000076,21.6
2022-07-13 06:00:00,573.0,4.2,2.52,384.58,385.28,385.08,1.2,9.0,8.8,4.22,95732.21,59.9,23.63,23.23,21.29999924,21.6
2022-07-13 06:05:00,579.0,5.0,2.92,383.72,384.42,384.03,1.0,9.3,9.2,4.32,95732.21,59.9,29.53,29.92,21.40000153,21.7
2022-07-13 06:10:00,590.0,5.6,3.34,383.78,384.38,384.13,0.9,9.6,9.5,4.44,95732.21,60.0,35.44,35.83,21.5,21.7
2022-07-13 06:15:00,584.0,6.0,3.56,384.84,385.32,385.17,1.0,9.9,9.8,4.6,95732.91,60.0,38.59,39.38,21.59999847,21.8
2022-07-13 06:20:00,561.0,5.2,3.0,385.08,385.75,385.45,1.2,9.4,9.3,4.43,95733.0,60.0,31.11,31.5,21.79999924,21.8
