
###################################################################
###################################################################
###################################################################

Current time: 2023-11-01 11:37:34.261239

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'batch_start_idx': 5, 'batch_end_idx': 21, 'dropout': 0.8, 'previous_steps': 5}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: RNN


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.

The number of parameter in model : 50952

Epoch [1/2000], Trn Loss: 398.2228, Val Loss: 335.7346 [(kW/hour)^2], MinVal : 335.734619140625
Epoch [2/2000], Trn Loss: 386.7751, Val Loss: 325.3986 [(kW/hour)^2], MinVal : 325.3985900878906
Epoch [3/2000], Trn Loss: 375.0197, Val Loss: 312.9334 [(kW/hour)^2], MinVal : 312.9333801269531
Epoch [4/2000], Trn Loss: 360.7713, Val Loss: 296.6481 [(kW/hour)^2], MinVal : 296.6481018066406
Epoch [5/2000], Trn Loss: 341.9969, Val Loss: 276.3971 [(kW/hour)^2], MinVal : 276.3970947265625
Epoch [6/2000], Trn Loss: 318.3025, Val Loss: 254.8816 [(kW/hour)^2], MinVal : 254.88162231445312
Epoch [7/2000], Trn Loss: 292.5043, Val Loss: 236.3388 [(kW/hour)^2], MinVal : 236.3388214111328
Epoch [8/2000], Trn Loss: 269.3644, Val Loss: 223.3736 [(kW/hour)^2], MinVal : 223.3735809326172
Epoch [9/2000], Trn Loss: 252.1697, Val Loss: 215.1761 [(kW/hour)^2], MinVal : 215.1760711669922
Epoch [10/2000], Trn Loss: 240.5387, Val Loss: 209.7966 [(kW/hour)^2], MinVal : 209.79660034179688
Epoch [11/2000], Trn Loss: 232.4574, Val Loss: 206.1760 [(kW/hour)^2], MinVal : 206.17599487304688
Epoch [12/2000], Trn Loss: 226.7199, Val Loss: 203.7136 [(kW/hour)^2], MinVal : 203.71360778808594
Epoch [13/2000], Trn Loss: 222.4757, Val Loss: 201.9321 [(kW/hour)^2], MinVal : 201.93209838867188
Epoch [14/2000], Trn Loss: 219.3515, Val Loss: 200.8699 [(kW/hour)^2], MinVal : 200.8699493408203
Epoch [15/2000], Trn Loss: 217.1610, Val Loss: 200.2122 [(kW/hour)^2], MinVal : 200.21224975585938
Epoch [16/2000], Trn Loss: 215.5262, Val Loss: 199.7285 [(kW/hour)^2], MinVal : 199.72853088378906
Epoch [17/2000], Trn Loss: 214.1522, Val Loss: 199.3447 [(kW/hour)^2], MinVal : 199.3446502685547
Epoch [18/2000], Trn Loss: 212.9427, Val Loss: 198.9845 [(kW/hour)^2], MinVal : 198.9844970703125
Epoch [19/2000], Trn Loss: 212.0347, Val Loss: 198.7066 [(kW/hour)^2], MinVal : 198.70657348632812
Epoch [20/2000], Trn Loss: 211.1918, Val Loss: 198.6134 [(kW/hour)^2], MinVal : 198.6134490966797
Epoch [21/2000], Trn Loss: 210.4581, Val Loss: 198.4357 [(kW/hour)^2], MinVal : 198.43568420410156
Epoch [22/2000], Trn Loss: 209.7036, Val Loss: 198.2693 [(kW/hour)^2], MinVal : 198.26925659179688
Epoch [23/2000], Trn Loss: 209.0562, Val Loss: 198.3075 [(kW/hour)^2], MinVal : 198.26925659179688
Epoch [24/2000], Trn Loss: 208.5987, Val Loss: 198.3234 [(kW/hour)^2], MinVal : 198.26925659179688
Epoch [25/2000], Trn Loss: 208.1864, Val Loss: 198.3887 [(kW/hour)^2], MinVal : 198.26925659179688
Epoch [26/2000], Trn Loss: 207.8149, Val Loss: 198.4466 [(kW/hour)^2], MinVal : 198.26925659179688
Epoch [27/2000], Trn Loss: 207.4773, Val Loss: 198.5147 [(kW/hour)^2], MinVal : 198.26925659179688
Epoch [28/2000], Trn Loss: 207.2166, Val Loss: 198.5821 [(kW/hour)^2], MinVal : 198.26925659179688
Epoch [29/2000], Trn Loss: 206.9616, Val Loss: 198.6945 [(kW/hour)^2], MinVal : 198.26925659179688
Epoch [30/2000], Trn Loss: 206.7418, Val Loss: 198.7993 [(kW/hour)^2], MinVal : 198.26925659179688
Epoch [31/2000], Trn Loss: 206.5448, Val Loss: 198.9118 [(kW/hour)^2], MinVal : 198.26925659179688
Epoch [32/2000], Trn Loss: 206.3671, Val Loss: 199.0151 [(kW/hour)^2], MinVal : 198.26925659179688
