
###################################################################
###################################################################
###################################################################

Current time: 2023-11-19 06:26:14.357179

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'batch_start_idx': 5, 'batch_end_idx': 21, 'dropout': 0.5, 'previous_steps': 5}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: 2-stageRL


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.

The number of parameter in first model : 50952

The number of parameter in second model : 201480

Epoch [39/2000], First Loss: 205.1382, Second Loss: -77777.0000, Val Loss: 200.6565 [(kW/hour)^2], MinVal : 198.36253356933594
Epoch [40/2000], First Loss: 205.0939, Second Loss: -77777.0000, Val Loss: 200.7934 [(kW/hour)^2], MinVal : 198.36253356933594
Epoch [41/2000], First Loss: 205.0722, Second Loss: -77777.0000, Val Loss: 200.9058 [(kW/hour)^2], MinVal : 198.36253356933594
Epoch [42/2000], First Loss: 205.0210, Second Loss: -77777.0000, Val Loss: 201.0208 [(kW/hour)^2], MinVal : 198.36253356933594
Epoch [43/2000], First Loss: 205.0176, Second Loss: -77777.0000, Val Loss: 201.1189 [(kW/hour)^2], MinVal : 198.36253356933594
Epoch [44/2000], First Loss: 205.0027, Second Loss: -77777.0000, Val Loss: 201.2030 [(kW/hour)^2], MinVal : 198.36253356933594
Epoch [45/2000], First Loss: 204.9868, Second Loss: -77777.0000, Val Loss: 201.2992 [(kW/hour)^2], MinVal : 198.36253356933594
Epoch [46/2000], First Loss: 204.9692, Second Loss: -77777.0000, Val Loss: 201.3806 [(kW/hour)^2], MinVal : 198.36253356933594
Epoch [47/2000], First Loss: 204.9495, Second Loss: -77777.0000, Val Loss: 201.4344 [(kW/hour)^2], MinVal : 198.36253356933594
Epoch [48/2000], First Loss: 204.9261, Second Loss: -77777.0000, Val Loss: 201.4980 [(kW/hour)^2], MinVal : 198.36253356933594
