
###################################################################
###################################################################
###################################################################

Current time: 2023-11-07 07:42:46.832696

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'batch_start_idx': 5, 'batch_end_idx': 21, 'dropout': 0.3, 'previous_steps': 5}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: LSTM


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.

The number of parameter in model : 203016

Epoch [1/2000], Trn Loss: 393.3683, Val Loss: 339.3996 [(kW/hour)^2], MinVal : 339.3995666503906
Epoch [2/2000], Trn Loss: 390.9856, Val Loss: 337.2381 [(kW/hour)^2], MinVal : 337.2380676269531
Epoch [3/2000], Trn Loss: 388.5200, Val Loss: 334.8972 [(kW/hour)^2], MinVal : 334.8972473144531
Epoch [4/2000], Trn Loss: 385.8499, Val Loss: 332.2310 [(kW/hour)^2], MinVal : 332.2310485839844
Epoch [5/2000], Trn Loss: 382.8091, Val Loss: 329.0331 [(kW/hour)^2], MinVal : 329.0330505371094
Epoch [6/2000], Trn Loss: 379.1628, Val Loss: 325.0021 [(kW/hour)^2], MinVal : 325.00213623046875
Epoch [7/2000], Trn Loss: 374.5677, Val Loss: 319.6716 [(kW/hour)^2], MinVal : 319.67156982421875
Epoch [8/2000], Trn Loss: 368.4899, Val Loss: 312.2778 [(kW/hour)^2], MinVal : 312.27783203125
Epoch [9/2000], Trn Loss: 360.0525, Val Loss: 301.6826 [(kW/hour)^2], MinVal : 301.6825866699219
Epoch [10/2000], Trn Loss: 347.9314, Val Loss: 286.9558 [(kW/hour)^2], MinVal : 286.9558410644531
Epoch [11/2000], Trn Loss: 330.9607, Val Loss: 269.2599 [(kW/hour)^2], MinVal : 269.2599182128906
Epoch [12/2000], Trn Loss: 310.2252, Val Loss: 252.0742 [(kW/hour)^2], MinVal : 252.07418823242188
Epoch [13/2000], Trn Loss: 289.5187, Val Loss: 237.9308 [(kW/hour)^2], MinVal : 237.93077087402344
Epoch [14/2000], Trn Loss: 271.8726, Val Loss: 227.1622 [(kW/hour)^2], MinVal : 227.16220092773438
Epoch [15/2000], Trn Loss: 257.8985, Val Loss: 219.2498 [(kW/hour)^2], MinVal : 219.24984741210938
Epoch [16/2000], Trn Loss: 247.1238, Val Loss: 213.4857 [(kW/hour)^2], MinVal : 213.48573303222656
Epoch [17/2000], Trn Loss: 238.8358, Val Loss: 209.0847 [(kW/hour)^2], MinVal : 209.08474731445312
Epoch [18/2000], Trn Loss: 232.2184, Val Loss: 205.5763 [(kW/hour)^2], MinVal : 205.57627868652344
Epoch [19/2000], Trn Loss: 226.7445, Val Loss: 202.7704 [(kW/hour)^2], MinVal : 202.7704315185547
Epoch [20/2000], Trn Loss: 222.1438, Val Loss: 200.5255 [(kW/hour)^2], MinVal : 200.52548217773438
Epoch [21/2000], Trn Loss: 218.2569, Val Loss: 198.7390 [(kW/hour)^2], MinVal : 198.73898315429688
Epoch [22/2000], Trn Loss: 214.9568, Val Loss: 197.3000 [(kW/hour)^2], MinVal : 197.2999725341797
Epoch [23/2000], Trn Loss: 212.1518, Val Loss: 196.2220 [(kW/hour)^2], MinVal : 196.22203063964844
Epoch [24/2000], Trn Loss: 209.7772, Val Loss: 195.2612 [(kW/hour)^2], MinVal : 195.26124572753906
Epoch [25/2000], Trn Loss: 207.7270, Val Loss: 194.4475 [(kW/hour)^2], MinVal : 194.44747924804688
Epoch [26/2000], Trn Loss: 205.9196, Val Loss: 193.6254 [(kW/hour)^2], MinVal : 193.6254425048828
Epoch [27/2000], Trn Loss: 204.4301, Val Loss: 192.8966 [(kW/hour)^2], MinVal : 192.8966064453125
Epoch [28/2000], Trn Loss: 203.0005, Val Loss: 192.1693 [(kW/hour)^2], MinVal : 192.1692657470703
Epoch [29/2000], Trn Loss: 201.6218, Val Loss: 191.5743 [(kW/hour)^2], MinVal : 191.5743408203125
Epoch [30/2000], Trn Loss: 200.5952, Val Loss: 190.6547 [(kW/hour)^2], MinVal : 190.65469360351562
Epoch [31/2000], Trn Loss: 199.5055, Val Loss: 189.9312 [(kW/hour)^2], MinVal : 189.9312286376953
Epoch [32/2000], Trn Loss: 198.3782, Val Loss: 189.1888 [(kW/hour)^2], MinVal : 189.18881225585938
Epoch [33/2000], Trn Loss: 197.6409, Val Loss: 188.4390 [(kW/hour)^2], MinVal : 188.43902587890625
Epoch [34/2000], Trn Loss: 196.8643, Val Loss: 187.6637 [(kW/hour)^2], MinVal : 187.66372680664062
Epoch [35/2000], Trn Loss: 195.9808, Val Loss: 187.0260 [(kW/hour)^2], MinVal : 187.02601623535156
Epoch [36/2000], Trn Loss: 195.3675, Val Loss: 186.3724 [(kW/hour)^2], MinVal : 186.3724365234375
Epoch [37/2000], Trn Loss: 195.1162, Val Loss: 185.7975 [(kW/hour)^2], MinVal : 185.79754638671875
Epoch [38/2000], Trn Loss: 194.4765, Val Loss: 185.2952 [(kW/hour)^2], MinVal : 185.29515075683594
Epoch [39/2000], Trn Loss: 194.0473, Val Loss: 184.8951 [(kW/hour)^2], MinVal : 184.89512634277344
Epoch [40/2000], Trn Loss: 193.4880, Val Loss: 184.2613 [(kW/hour)^2], MinVal : 184.2612762451172
Epoch [41/2000], Trn Loss: 192.9052, Val Loss: 183.6560 [(kW/hour)^2], MinVal : 183.656005859375
Epoch [42/2000], Trn Loss: 192.3170, Val Loss: 183.2783 [(kW/hour)^2], MinVal : 183.27828979492188
Epoch [43/2000], Trn Loss: 191.6893, Val Loss: 182.9621 [(kW/hour)^2], MinVal : 182.96214294433594
Epoch [44/2000], Trn Loss: 191.2476, Val Loss: 182.6592 [(kW/hour)^2], MinVal : 182.6592254638672
Epoch [45/2000], Trn Loss: 190.8055, Val Loss: 182.2646 [(kW/hour)^2], MinVal : 182.2646026611328
Epoch [46/2000], Trn Loss: 190.3005, Val Loss: 181.8208 [(kW/hour)^2], MinVal : 181.82078552246094
Epoch [47/2000], Trn Loss: 189.6541, Val Loss: 181.3634 [(kW/hour)^2], MinVal : 181.36343383789062
Epoch [48/2000], Trn Loss: 189.1073, Val Loss: 180.8022 [(kW/hour)^2], MinVal : 180.8021697998047
Epoch [49/2000], Trn Loss: 188.6600, Val Loss: 180.4875 [(kW/hour)^2], MinVal : 180.48753356933594
Epoch [50/2000], Trn Loss: 188.1796, Val Loss: 180.1423 [(kW/hour)^2], MinVal : 180.14231872558594
Epoch [51/2000], Trn Loss: 187.7350, Val Loss: 179.7266 [(kW/hour)^2], MinVal : 179.72662353515625
Epoch [52/2000], Trn Loss: 187.3841, Val Loss: 179.4751 [(kW/hour)^2], MinVal : 179.4751434326172
Epoch [53/2000], Trn Loss: 186.8506, Val Loss: 179.3054 [(kW/hour)^2], MinVal : 179.30543518066406
Epoch [54/2000], Trn Loss: 186.4235, Val Loss: 179.1871 [(kW/hour)^2], MinVal : 179.18714904785156
Epoch [55/2000], Trn Loss: 185.8955, Val Loss: 178.8687 [(kW/hour)^2], MinVal : 178.86874389648438
Epoch [56/2000], Trn Loss: 185.3632, Val Loss: 178.4711 [(kW/hour)^2], MinVal : 178.47105407714844
Epoch [57/2000], Trn Loss: 184.7864, Val Loss: 178.1164 [(kW/hour)^2], MinVal : 178.11639404296875
Epoch [58/2000], Trn Loss: 184.1961, Val Loss: 177.6597 [(kW/hour)^2], MinVal : 177.65969848632812
Epoch [59/2000], Trn Loss: 183.5294, Val Loss: 176.9999 [(kW/hour)^2], MinVal : 176.99990844726562
Epoch [60/2000], Trn Loss: 182.8934, Val Loss: 176.2920 [(kW/hour)^2], MinVal : 176.29202270507812
Epoch [61/2000], Trn Loss: 182.2309, Val Loss: 175.3479 [(kW/hour)^2], MinVal : 175.34793090820312
Epoch [62/2000], Trn Loss: 181.3430, Val Loss: 174.4306 [(kW/hour)^2], MinVal : 174.43064880371094
Epoch [63/2000], Trn Loss: 180.4928, Val Loss: 173.3788 [(kW/hour)^2], MinVal : 173.37879943847656
Epoch [64/2000], Trn Loss: 179.4714, Val Loss: 172.4277 [(kW/hour)^2], MinVal : 172.42771911621094
Epoch [65/2000], Trn Loss: 178.3798, Val Loss: 171.1682 [(kW/hour)^2], MinVal : 171.16822814941406
Epoch [66/2000], Trn Loss: 177.3406, Val Loss: 169.7229 [(kW/hour)^2], MinVal : 169.7228546142578
Epoch [67/2000], Trn Loss: 176.1937, Val Loss: 167.8025 [(kW/hour)^2], MinVal : 167.80247497558594
Epoch [68/2000], Trn Loss: 175.2268, Val Loss: 166.2073 [(kW/hour)^2], MinVal : 166.207275390625
Epoch [69/2000], Trn Loss: 173.7127, Val Loss: 164.6331 [(kW/hour)^2], MinVal : 164.63308715820312
Epoch [70/2000], Trn Loss: 172.3571, Val Loss: 163.0509 [(kW/hour)^2], MinVal : 163.05088806152344
Epoch [71/2000], Trn Loss: 170.7653, Val Loss: 161.3707 [(kW/hour)^2], MinVal : 161.3707275390625
Epoch [72/2000], Trn Loss: 169.3372, Val Loss: 159.5856 [(kW/hour)^2], MinVal : 159.58555603027344
Epoch [73/2000], Trn Loss: 168.1187, Val Loss: 158.3751 [(kW/hour)^2], MinVal : 158.3751220703125
Epoch [74/2000], Trn Loss: 166.4835, Val Loss: 156.9761 [(kW/hour)^2], MinVal : 156.97605895996094
Epoch [75/2000], Trn Loss: 164.8798, Val Loss: 155.9927 [(kW/hour)^2], MinVal : 155.99269104003906
Epoch [76/2000], Trn Loss: 163.3655, Val Loss: 155.7050 [(kW/hour)^2], MinVal : 155.7050323486328
Epoch [77/2000], Trn Loss: 162.3328, Val Loss: 155.9052 [(kW/hour)^2], MinVal : 155.7050323486328
Epoch [78/2000], Trn Loss: 161.8297, Val Loss: 155.6822 [(kW/hour)^2], MinVal : 155.6821746826172
Epoch [79/2000], Trn Loss: 161.4012, Val Loss: 155.2465 [(kW/hour)^2], MinVal : 155.24649047851562
