date,DC_V,DC_A,DC_W,AC_V_RS,AC_V_ST,AC_V_TR,AC_A_R,AC_A_S,AC_A_T,AC_W,AC_TOT,AC_FREQ,SOL_RAD_SLOPE,SOL_RAD_LEVEL,TMP_MODU,TMP_CLI
2022-02-21 06:45:00,435.5,2.7,1.2,385.16,386.28,384.88,1.4,8.8,8.4,4.14,60167.91,60.0,0.0,0.0,-7.0,-4.0
2022-02-21 06:50:00,198.5,2.9,0.61,384.82,386.28,384.78,1.6,8.8,8.4,4.18,60167.91,60.0,0.0,0.0,-7.100000381,-4.1
2022-02-21 06:55:00,504.5,2.9,1.49,384.48,385.48,384.72,1.5,8.8,8.4,4.16,60167.91,59.9,0.0,0.0,-6.699999809,-3.9
2022-02-21 07:05:00,533.5,3.2,1.74,384.98,386.38,385.42,1.4,8.7,8.4,4.12,60167.91,59.9,0.0,0.0,-6.199999809,-3.7
2022-02-21 07:10:00,608.5,3.4,2.09,384.88,386.28,385.22,1.3,8.8,8.5,4.14,60167.91,59.9,0.0,9.06,-6.0,-3.5
2022-02-21 07:15:00,657.5,4.7,3.17,385.36,387.08,385.66,1.2,9.2,9.1,4.35,60167.91,59.9,20.87,24.02,-5.5,-3.4
2022-02-21 07:20:00,654.5,5.9,3.92,385.28,386.87,385.78,1.0,9.9,9.9,4.64,60167.91,60.0,31.11,35.04,-5.100000381,-3.2
2022-02-21 07:25:00,673.5,7.5,5.15,386.2,388.12,386.8,0.9,11.6,11.7,5.41,60168.0,59.9,47.25,52.76,-4.399999619,-3.1
2022-02-21 07:30:00,676.5,8.8,6.03,386.22,388.52,387.26,1.0,13.2,13.3,6.16,60168.32000000001,60.0,57.88,64.18,-4.0,-3.0
2022-02-21 07:35:00,682.5,11.2,7.66,386.18,388.28,386.78,0.9,16.3,16.5,7.54,60169.0,60.0,74.42,82.29,-3.299999237,-2.9
2022-02-21 07:40:00,680.0,12.3,8.41,385.82,388.58,387.27,1.0,17.9,18.1,8.28,60169.91,59.9,83.47,91.74,-2.799999237,-2.7
2022-02-21 07:45:00,675.5,14.3,9.74,386.45,389.29,387.78,1.6,20.8,21.1,9.75,60170.41,59.9,100.01,109.86,-2.0,-2.6
2022-02-21 07:50:00,671.5,16.0,10.8,387.0,389.28,387.91,2.2,23.1,23.5,10.95,60171.110000000015,59.9,113.4,124.43,-1.5,-2.4
2022-02-21 07:55:00,681.5,17.6,12.09,386.27,389.07,387.67,2.3,26.1,26.5,12.31,60172.32000000001,59.9,129.54,141.75,-0.5,-2.1
