
###################################################################
###################################################################
###################################################################

Current time: 2023-11-07 04:35:07.316686

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'batch_start_idx': 5, 'batch_end_idx': 21, 'dropout': 0.5, 'previous_steps': 5}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: RCNN


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.

The number of parameter in model : 210648

Epoch [1/2000], Trn Loss: 384.1365, Val Loss: 271.1381 [(kW/hour)^2], MinVal : 271.13812255859375
Epoch [2/2000], Trn Loss: 362.6906, Val Loss: 261.3888 [(kW/hour)^2], MinVal : 261.3887939453125
Epoch [3/2000], Trn Loss: 354.9130, Val Loss: 235.2247 [(kW/hour)^2], MinVal : 235.22470092773438
Epoch [4/2000], Trn Loss: 348.2100, Val Loss: 236.6348 [(kW/hour)^2], MinVal : 235.22470092773438
Epoch [5/2000], Trn Loss: 344.0881, Val Loss: 243.0010 [(kW/hour)^2], MinVal : 235.22470092773438
Epoch [6/2000], Trn Loss: 340.7010, Val Loss: 252.4052 [(kW/hour)^2], MinVal : 235.22470092773438
Epoch [7/2000], Trn Loss: 338.0108, Val Loss: 265.1302 [(kW/hour)^2], MinVal : 235.22470092773438
Epoch [8/2000], Trn Loss: 335.7532, Val Loss: 278.5895 [(kW/hour)^2], MinVal : 235.22470092773438
Epoch [9/2000], Trn Loss: 333.9154, Val Loss: 290.5382 [(kW/hour)^2], MinVal : 235.22470092773438
Epoch [10/2000], Trn Loss: 332.3249, Val Loss: 297.6051 [(kW/hour)^2], MinVal : 235.22470092773438
Epoch [11/2000], Trn Loss: 330.8909, Val Loss: 304.5654 [(kW/hour)^2], MinVal : 235.22470092773438
Epoch [12/2000], Trn Loss: 329.5802, Val Loss: 310.0551 [(kW/hour)^2], MinVal : 235.22470092773438
Epoch [13/2000], Trn Loss: 328.7230, Val Loss: 314.1592 [(kW/hour)^2], MinVal : 235.22470092773438
Epoch [14/2000], Trn Loss: 327.7016, Val Loss: 318.1488 [(kW/hour)^2], MinVal : 235.22470092773438
Epoch [15/2000], Trn Loss: 326.7180, Val Loss: 322.5602 [(kW/hour)^2], MinVal : 235.22470092773438
Epoch [16/2000], Trn Loss: 325.7550, Val Loss: 327.5240 [(kW/hour)^2], MinVal : 235.22470092773438
Epoch [17/2000], Trn Loss: 324.9437, Val Loss: 332.8525 [(kW/hour)^2], MinVal : 235.22470092773438
Epoch [18/2000], Trn Loss: 323.8654, Val Loss: 338.4413 [(kW/hour)^2], MinVal : 235.22470092773438
Epoch [19/2000], Trn Loss: 322.8242, Val Loss: 343.7932 [(kW/hour)^2], MinVal : 235.22470092773438
Epoch [20/2000], Trn Loss: 322.1096, Val Loss: 348.5977 [(kW/hour)^2], MinVal : 235.22470092773438
Epoch [21/2000], Trn Loss: 321.0552, Val Loss: 352.5672 [(kW/hour)^2], MinVal : 235.22470092773438
Epoch [22/2000], Trn Loss: 320.1565, Val Loss: 355.7476 [(kW/hour)^2], MinVal : 235.22470092773438
Epoch [23/2000], Trn Loss: 318.9502, Val Loss: 357.5713 [(kW/hour)^2], MinVal : 235.22470092773438
Epoch [24/2000], Trn Loss: 318.0645, Val Loss: 357.7397 [(kW/hour)^2], MinVal : 235.22470092773438
Epoch [25/2000], Trn Loss: 316.5243, Val Loss: 354.4758 [(kW/hour)^2], MinVal : 235.22470092773438
Epoch [26/2000], Trn Loss: 314.1848, Val Loss: 347.8498 [(kW/hour)^2], MinVal : 235.22470092773438
Epoch [27/2000], Trn Loss: 311.6239, Val Loss: 348.5980 [(kW/hour)^2], MinVal : 235.22470092773438
Epoch [28/2000], Trn Loss: 310.2203, Val Loss: 350.8324 [(kW/hour)^2], MinVal : 235.22470092773438
