
###################################################################
###################################################################
###################################################################

Current time: 2023-10-10 02:30:04.344665

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'dropout': 0, 'previous_steps': 5}

learning: {'nBatch': 14, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: correction_LSTMs


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.

The number of parameter in first model : 203016

The number of parameter in second model : 201480

Epoch [40/2000], First Loss: 424.5073, Second Loss: 434.3284, Val Loss: 363.1401 [(kW/hour)^2], MinVal : 363.14007568359375
Epoch [41/2000], First Loss: 423.6278, Second Loss: 433.6654, Val Loss: 362.7241 [(kW/hour)^2], MinVal : 362.72406005859375
Epoch [42/2000], First Loss: 422.6283, Second Loss: 433.0381, Val Loss: 362.3392 [(kW/hour)^2], MinVal : 362.3392028808594
Epoch [43/2000], First Loss: 422.1339, Second Loss: 432.4445, Val Loss: 361.9830 [(kW/hour)^2], MinVal : 361.98297119140625
Epoch [44/2000], First Loss: 421.4589, Second Loss: 431.8824, Val Loss: 361.6541 [(kW/hour)^2], MinVal : 361.654052734375
Epoch [45/2000], First Loss: 420.7749, Second Loss: 431.3507, Val Loss: 361.3511 [(kW/hour)^2], MinVal : 361.35113525390625
Epoch [46/2000], First Loss: 419.8538, Second Loss: 430.8474, Val Loss: 361.0729 [(kW/hour)^2], MinVal : 361.0728759765625
Epoch [47/2000], First Loss: 419.0069, Second Loss: 430.3721, Val Loss: 360.8179 [(kW/hour)^2], MinVal : 360.8179016113281
Epoch [48/2000], First Loss: 418.4478, Second Loss: 429.9241, Val Loss: 360.5858 [(kW/hour)^2], MinVal : 360.58575439453125
Epoch [49/2000], First Loss: 417.9786, Second Loss: 429.5020, Val Loss: 360.3755 [(kW/hour)^2], MinVal : 360.3755187988281
Epoch [50/2000], First Loss: 417.2385, Second Loss: 429.1061, Val Loss: 360.1860 [(kW/hour)^2], MinVal : 360.18597412109375
Epoch [51/2000], First Loss: 416.6158, Second Loss: 428.7352, Val Loss: 360.0141 [(kW/hour)^2], MinVal : 360.0141296386719
Epoch [52/2000], First Loss: 416.2318, Second Loss: 428.3878, Val Loss: 359.8625 [(kW/hour)^2], MinVal : 359.86248779296875
Epoch [53/2000], First Loss: 415.8072, Second Loss: 428.0622, Val Loss: 359.7314 [(kW/hour)^2], MinVal : 359.7314147949219
Epoch [54/2000], First Loss: 415.0919, Second Loss: 427.7584, Val Loss: 359.6135 [(kW/hour)^2], MinVal : 359.6134948730469
Epoch [55/2000], First Loss: 414.3943, Second Loss: 427.4753, Val Loss: 359.5113 [(kW/hour)^2], MinVal : 359.51129150390625
Epoch [56/2000], First Loss: 413.9557, Second Loss: 427.2114, Val Loss: 359.4234 [(kW/hour)^2], MinVal : 359.4234313964844
Epoch [57/2000], First Loss: 413.3795, Second Loss: 426.9662, Val Loss: 359.3497 [(kW/hour)^2], MinVal : 359.3497314453125
Epoch [58/2000], First Loss: 412.6634, Second Loss: 426.7375, Val Loss: 359.2853 [(kW/hour)^2], MinVal : 359.28533935546875
Epoch [59/2000], First Loss: 412.0862, Second Loss: 426.5263, Val Loss: 359.2356 [(kW/hour)^2], MinVal : 359.235595703125
Epoch [60/2000], First Loss: 411.3936, Second Loss: 426.3298, Val Loss: 359.1966 [(kW/hour)^2], MinVal : 359.19659423828125
Epoch [61/2000], First Loss: 410.6964, Second Loss: 426.1479, Val Loss: 359.1678 [(kW/hour)^2], MinVal : 359.1678466796875
Epoch [62/2000], First Loss: 410.0278, Second Loss: 425.9800, Val Loss: 359.1455 [(kW/hour)^2], MinVal : 359.1455078125
Epoch [63/2000], First Loss: 409.5340, Second Loss: 425.8243, Val Loss: 359.1341 [(kW/hour)^2], MinVal : 359.1340637207031
Epoch [64/2000], First Loss: 409.0274, Second Loss: 425.6815, Val Loss: 359.1308 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [65/2000], First Loss: 408.7534, Second Loss: 425.5499, Val Loss: 359.1368 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [66/2000], First Loss: 408.1333, Second Loss: 425.4290, Val Loss: 359.1475 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [67/2000], First Loss: 407.4406, Second Loss: 425.3178, Val Loss: 359.1631 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [68/2000], First Loss: 406.9623, Second Loss: 425.2167, Val Loss: 359.1839 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [69/2000], First Loss: 406.0858, Second Loss: 425.1237, Val Loss: 359.2090 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [70/2000], First Loss: 405.4010, Second Loss: 425.0392, Val Loss: 359.2383 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [71/2000], First Loss: 404.7474, Second Loss: 424.9622, Val Loss: 359.2711 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [72/2000], First Loss: 404.0870, Second Loss: 424.8918, Val Loss: 359.3092 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [73/2000], First Loss: 403.2521, Second Loss: 424.8284, Val Loss: 359.3474 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [74/2000], First Loss: 402.8954, Second Loss: 424.7711, Val Loss: 359.3875 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [75/2000], First Loss: 402.0556, Second Loss: 424.7191, Val Loss: 359.4294 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [76/2000], First Loss: 401.1400, Second Loss: 424.6724, Val Loss: 359.4727 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [77/2000], First Loss: 399.9447, Second Loss: 424.6299, Val Loss: 359.5170 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [78/2000], First Loss: 399.2679, Second Loss: 424.5922, Val Loss: 359.5620 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [79/2000], First Loss: 398.8682, Second Loss: 424.5589, Val Loss: 359.6072 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [80/2000], First Loss: 398.1487, Second Loss: 424.5285, Val Loss: 359.6528 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [81/2000], First Loss: 397.2914, Second Loss: 424.5019, Val Loss: 359.6981 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [82/2000], First Loss: 396.8534, Second Loss: 424.4784, Val Loss: 359.7431 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [83/2000], First Loss: 396.4455, Second Loss: 424.4572, Val Loss: 359.7874 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [84/2000], First Loss: 395.7970, Second Loss: 424.4386, Val Loss: 359.8310 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [85/2000], First Loss: 395.7884, Second Loss: 424.4223, Val Loss: 359.8737 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [86/2000], First Loss: 393.9339, Second Loss: 424.4080, Val Loss: 359.9155 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [87/2000], First Loss: 393.0132, Second Loss: 424.3951, Val Loss: 359.9555 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [88/2000], First Loss: 391.6408, Second Loss: 424.3841, Val Loss: 359.9949 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [89/2000], First Loss: 390.5421, Second Loss: 424.3748, Val Loss: 360.0333 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [90/2000], First Loss: 389.3394, Second Loss: 424.3664, Val Loss: 360.0704 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [91/2000], First Loss: 388.0666, Second Loss: 424.3587, Val Loss: 360.1061 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [92/2000], First Loss: 386.6301, Second Loss: 424.3527, Val Loss: 360.1401 [(kW/hour)^2], MinVal : 359.1307678222656
Epoch [93/2000], First Loss: 384.7162, Second Loss: 424.3473, Val Loss: 360.1729 [(kW/hour)^2], MinVal : 359.1307678222656
