
###################################################################
###################################################################
###################################################################

Current time: 2023-11-19 02:51:51.108835

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'batch_start_idx': 5, 'batch_end_idx': 21, 'dropout': 0.5, 'previous_steps': 5}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: 2-stageRR


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.

The number of parameter in first model : 50952

The number of parameter in second model : 50568


###################################################################
###################################################################
###################################################################

Current time: 2023-11-19 05:02:07.446294

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'batch_start_idx': 5, 'batch_end_idx': 21, 'dropout': 0.5, 'previous_steps': 5}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: 2-stageRR


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.

The number of parameter in first model : 50952

The number of parameter in second model : 50568

Epoch [32/2000], First Loss: 207.8473, Second Loss: -77777.0000, Val Loss: 198.5414 [(kW/hour)^2], MinVal : 198.50494384765625
Epoch [33/2000], First Loss: 207.5571, Second Loss: -77777.0000, Val Loss: 198.6278 [(kW/hour)^2], MinVal : 198.50494384765625
Epoch [34/2000], First Loss: 207.3566, Second Loss: -77777.0000, Val Loss: 198.7042 [(kW/hour)^2], MinVal : 198.50494384765625
Epoch [35/2000], First Loss: 207.1622, Second Loss: -77777.0000, Val Loss: 198.7945 [(kW/hour)^2], MinVal : 198.50494384765625
Epoch [36/2000], First Loss: 206.9569, Second Loss: -77777.0000, Val Loss: 198.8847 [(kW/hour)^2], MinVal : 198.50494384765625
Epoch [37/2000], First Loss: 206.7857, Second Loss: -77777.0000, Val Loss: 198.9774 [(kW/hour)^2], MinVal : 198.50494384765625
Epoch [38/2000], First Loss: 206.6256, Second Loss: -77777.0000, Val Loss: 199.0741 [(kW/hour)^2], MinVal : 198.50494384765625
Epoch [39/2000], First Loss: 206.4765, Second Loss: -77777.0000, Val Loss: 199.1746 [(kW/hour)^2], MinVal : 198.50494384765625
Epoch [40/2000], First Loss: 206.3383, Second Loss: -77777.0000, Val Loss: 199.2793 [(kW/hour)^2], MinVal : 198.50494384765625
Epoch [41/2000], First Loss: 206.2098, Second Loss: -77777.0000, Val Loss: 199.3877 [(kW/hour)^2], MinVal : 198.50494384765625
Epoch [42/2000], First Loss: 206.0906, Second Loss: -77777.0000, Val Loss: 199.5000 [(kW/hour)^2], MinVal : 198.50494384765625
Epoch [43/2000], First Loss: 205.9802, Second Loss: -77777.0000, Val Loss: 199.6162 [(kW/hour)^2], MinVal : 198.50494384765625
Epoch [44/2000], First Loss: 205.8775, Second Loss: -77777.0000, Val Loss: 199.7362 [(kW/hour)^2], MinVal : 198.50494384765625
Epoch [45/2000], First Loss: 205.7828, Second Loss: -77777.0000, Val Loss: 199.8595 [(kW/hour)^2], MinVal : 198.50494384765625
Epoch [46/2000], First Loss: 205.6963, Second Loss: -77777.0000, Val Loss: 199.9849 [(kW/hour)^2], MinVal : 198.50494384765625
Epoch [47/2000], First Loss: 205.6182, Second Loss: -77777.0000, Val Loss: 200.1106 [(kW/hour)^2], MinVal : 198.50494384765625
Epoch [48/2000], First Loss: 205.5488, Second Loss: -77777.0000, Val Loss: 200.2342 [(kW/hour)^2], MinVal : 198.50494384765625
Epoch [49/2000], First Loss: 205.4880, Second Loss: -77777.0000, Val Loss: 200.3540 [(kW/hour)^2], MinVal : 198.50494384765625
Epoch [50/2000], First Loss: 205.4353, Second Loss: -77777.0000, Val Loss: 200.4687 [(kW/hour)^2], MinVal : 198.50494384765625
Epoch [51/2000], First Loss: 205.3893, Second Loss: -77777.0000, Val Loss: 200.5778 [(kW/hour)^2], MinVal : 198.50494384765625
Epoch [52/2000], First Loss: 205.3488, Second Loss: -77777.0000, Val Loss: 200.6813 [(kW/hour)^2], MinVal : 198.50494384765625
Epoch [53/2000], First Loss: 205.3130, Second Loss: -77777.0000, Val Loss: 200.7792 [(kW/hour)^2], MinVal : 198.50494384765625
Epoch [54/2000], First Loss: 205.2806, Second Loss: -77777.0000, Val Loss: 200.8716 [(kW/hour)^2], MinVal : 198.50494384765625
Epoch [55/2000], First Loss: 205.2513, Second Loss: -77777.0000, Val Loss: 200.9581 [(kW/hour)^2], MinVal : 198.50494384765625
Epoch [56/2000], First Loss: 205.2244, Second Loss: -77777.0000, Val Loss: 201.0386 [(kW/hour)^2], MinVal : 198.50494384765625
Epoch [57/2000], First Loss: 205.1990, Second Loss: -77777.0000, Val Loss: 201.1121 [(kW/hour)^2], MinVal : 198.50494384765625
Epoch [58/2000], First Loss: 205.1743, Second Loss: -77777.0000, Val Loss: 201.1739 [(kW/hour)^2], MinVal : 198.50494384765625
Epoch [59/2000], First Loss: 205.1487, Second Loss: -77777.0000, Val Loss: 201.2470 [(kW/hour)^2], MinVal : 198.50494384765625
Epoch [60/2000], First Loss: 205.1302, Second Loss: -77777.0000, Val Loss: 201.3351 [(kW/hour)^2], MinVal : 198.50494384765625
Epoch [61/2000], First Loss: 205.1501, Second Loss: -77777.0000, Val Loss: 201.3886 [(kW/hour)^2], MinVal : 198.50494384765625
Epoch [62/2000], First Loss: 205.1299, Second Loss: -77777.0000, Val Loss: 201.4358 [(kW/hour)^2], MinVal : 198.50494384765625
Epoch [63/2000], First Loss: 205.1086, Second Loss: -77777.0000, Val Loss: 201.4759 [(kW/hour)^2], MinVal : 198.50494384765625
Epoch [64/2000], First Loss: 205.0860, Second Loss: -77777.0000, Val Loss: 201.5081 [(kW/hour)^2], MinVal : 198.50494384765625
Epoch [65/2000], First Loss: 205.0615, Second Loss: -77777.0000, Val Loss: 201.5291 [(kW/hour)^2], MinVal : 198.50494384765625
Epoch [66/2000], First Loss: 205.0338, Second Loss: -77777.0000, Val Loss: 201.5433 [(kW/hour)^2], MinVal : 198.50494384765625
Epoch [67/2000], First Loss: 204.9963, Second Loss: -77777.0000, Val Loss: 201.6191 [(kW/hour)^2], MinVal : 198.50494384765625
Epoch [68/2000], First Loss: 204.9616, Second Loss: -77777.0000, Val Loss: 201.6003 [(kW/hour)^2], MinVal : 198.50494384765625
Epoch [69/2000], First Loss: 204.9868, Second Loss: -77777.0000, Val Loss: 201.6330 [(kW/hour)^2], MinVal : 198.50494384765625
Epoch [70/2000], First Loss: 205.0090, Second Loss: -77777.0000, Val Loss: 201.6831 [(kW/hour)^2], MinVal : 198.50494384765625
